episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-6.1935,-6.1935,0.000,118,287,18,0,1.000,30,0.00,12,544.56,0,0,78.639(98.299%)(6.283m),95.000(83.824%)(8.036m),33.918(29.928%)(1.491m),17.557(15.492%)(0.000m),10.717(13.396%)(0.000m),40.000(100.000%)(3.214m),10.717(26.792%)(0.077m),3653.784,8388.445,56.3,0.0000,"[0.095, -0.033, -0.066, 0.042, -0.057, -0.012]","[0.100, -0.024, -0.042, 0.074, -0.048, -0.007]","[0.085, -0.049, -0.076, 0.031, -0.072, -0.016]"
2,1,-5.2638,-5.7287,0.000,79,196,15,0,0.998,25,0.00,20,257.35,0,0,78.639(98.299%)(6.283m),109.813(96.894%)(9.623m),25.811(22.774%)(0.623m),15.211(13.422%)(0.000m),9.999(12.499%)(0.000m),40.000(100.000%)(3.214m),11.166(27.915%)(0.125m),4086.138,8152.735,57.4,0.0000,"[0.094, -0.033, -0.067, 0.045, -0.057, -0.011]","[0.100, -0.024, -0.044, 0.075, -0.048, -0.009]","[0.083, -0.048, -0.077, 0.031, -0.075, -0.016]"
3,1,-3.3358,-4.9310,0.000,169,441,48,16,0.996,40,0.00,37,559.75,0,0,64.396(80.495%)(4.757m),113.333(100.000%)(10.000m),20.000(17.647%)(0.000m),21.000(18.529%)(0.107m),61.508(76.885%)(4.447m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2753.747,60.4,0.0000,"[0.093, -0.021, -0.083, 0.040, -0.053, -0.006]","[0.100, -0.011, -0.072, 0.062, -0.048, 0.004]","[0.077, -0.026, -0.105, 0.031, -0.059, -0.013]"
4,1,-4.0117,-4.7012,0.000,140,355,18,0,0.994,35,0.00,51,444.31,0,0,62.000(77.500%)(4.500m),81.000(71.471%)(6.536m),49.965(44.087%)(3.211m),20.530(18.115%)(0.057m),11.326(14.158%)(0.000m),40.000(100.000%)(3.214m),10.019(25.046%)(0.002m),2313.106,8374.694,58.7,0.0000,"[0.096, -0.036, -0.065, 0.044, -0.059, -0.010]","[0.100, -0.024, -0.041, 0.075, -0.048, -0.004]","[0.089, -0.056, -0.082, 0.031, -0.075, -0.017]"
5,1,-5.2006,-4.8011,0.000,111,281,15,0,0.992,30,0.00,63,340.67,0,0,10.196(12.745%)(0.000m),15.510(13.685%)(0.000m),26.317(23.221%)(0.677m),94.000(82.941%)(7.929m),77.067(96.334%)(6.114m),11.385(28.462%)(0.148m),40.000(100.000%)(3.214m),3207.016,6407.350,58.6,0.0000,"[0.098, -0.032, -0.075, 0.038, -0.057, -0.010]","[0.104, -0.024, -0.070, 0.051, -0.047, 0.009]","[0.089, -0.058, -0.084, 0.032, -0.070, -0.015]"
6,1,-7.7802,-5.2976,1.417,265,639,18,4,0.990,50,0.00,90,1235.64,0,0,34.000(42.500%)(1.500m),42.000(37.059%)(2.357m),70.786(62.459%)(5.441m),25.782(22.749%)(0.620m),12.471(15.588%)(0.000m),40.000(100.000%)(3.214m),9.730(24.324%)(0.000m),1212.484,7480.764,55.8,0.0000,"[-0.310, -0.293, -0.105, 0.054, -0.121, 0.105]","[0.100, -0.024, -0.047, 0.140, -0.015, 0.164]","[-0.679, -0.441, -0.177, -0.086, -0.505, -0.013]"
7,1,-4.2425,-5.1469,1.156,108,282,16,0,0.988,30,0.00,101,398.21,0,0,10.856(13.570%)(0.000m),18.116(15.985%)(0.000m),36.305(32.034%)(1.747m),96.000(84.706%)(8.143m),71.000(88.750%)(5.464m),10.594(26.485%)(0.064m),40.000(100.000%)(3.214m),2820.804,6362.424,60.4,0.0000,"[-0.873, -0.449, -0.141, 0.280, 0.389, 0.181]","[-0.628, -0.424, -0.078, 0.431, 0.773, 0.301]","[-1.255, -0.487, -0.188, 0.192, 0.091, 0.121]"
8,1,-6.5414,-5.3212,0.850,128,314,18,0,0.986,30,0.00,114,446.60,0,0,78.239(97.799%)(6.240m),46.887(41.371%)(2.881m),19.265(16.999%)(0.000m),12.667(11.176%)(0.000m),8.984(11.229%)(0.000m),40.000(100.000%)(3.214m),11.514(28.786%)(0.162m),3056.835,5667.896,56.7,0.0000,"[-0.375, -0.223, -0.348, 0.193, -0.049, 0.315]","[-0.023, 0.017, -0.145, 0.526, 0.524, 0.425]","[-0.619, -0.437, -0.473, -0.722, -1.747, 0.213]"
9,1,-7.9636,-5.6148,0.641,262,637,0,39,0.984,50,0.00,141,960.05,0,0,32.734(40.918%)(1.364m),61.867(54.589%)(4.486m),45.000(39.706%)(2.679m),20.000(17.647%)(0.000m),12.000(15.000%)(0.000m),23.550(58.874%)(1.452m),40.000(100.000%)(3.214m),1608.571,8043.962,56.3,4.8423,"[-0.251, -0.018, -0.184, 0.492, 0.363, 0.624]","[0.419, 0.645, 0.471, 1.114, 1.656, 0.996]","[-0.657, -0.572, -0.497, -0.953, -2.366, 0.407]"
10,1,-4.5634,-5.5096,0.612,130,317,17,0,0.982,35,0.00,154,473.93,0,0,77.786(97.233%)(6.191m),91.000(80.294%)(7.607m),50.697(44.733%)(3.289m),20.831(18.380%)(0.089m),11.492(14.365%)(0.000m),40.000(100.000%)(3.214m),10.165(25.413%)(0.018m),4184.935,9180.046,56.4,1.0383,"[0.479, 0.056, 0.456, -0.043, -0.643, 0.780]","[0.773, 0.761, 0.630, 0.923, 1.277, 1.172]","[0.186, -1.389, 0.220, -2.609, -5.249, 0.037]"
