episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-6.2220,-6.2220,0.000,206,514,33,17,1.000,45,0.00,21,420.25,0,0,44.990(56.237%)(2.677m),81.549(71.955%)(6.595m),33.000(29.118%)(1.393m),25.000(22.059%)(0.536m),23.000(28.750%)(0.321m),39.796(99.490%)(3.192m),40.000(100.000%)(3.214m),0.000,2993.863,57.8,0.0000,"[-0.084, -0.145, 0.026, -0.105, -0.065, 0.052]","[-0.074, -0.132, 0.034, -0.095, -0.048, 0.058]","[-0.088, -0.154, 0.003, -0.113, -0.070, 0.036]"
2,1,-5.3893,-5.8057,0.000,119,288,18,0,0.998,30,0.00,33,221.00,0,0,8.963(11.204%)(0.000m),12.719(11.222%)(0.000m),19.509(17.214%)(0.000m),49.017(43.250%)(3.109m),67.642(84.553%)(5.105m),11.343(28.357%)(0.144m),40.000(100.000%)(3.214m),3577.324,7637.746,56.0,0.0000,"[-0.082, -0.142, 0.026, -0.106, -0.063, 0.056]","[-0.063, -0.113, 0.031, -0.101, -0.038, 0.059]","[-0.089, -0.155, 0.023, -0.113, -0.070, 0.052]"
3,1,-6.4143,-6.0086,0.000,137,332,17,0,0.996,35,0.00,47,215.41,0,0,78.000(97.500%)(6.214m),56.005(49.416%)(3.858m),20.760(18.318%)(0.081m),13.298(11.733%)(0.000m),9.250(11.562%)(0.000m),40.000(100.000%)(3.214m),11.412(28.530%)(0.151m),3660.662,7429.765,56.1,0.0000,"[-0.079, -0.153, 0.020, -0.107, -0.063, 0.047]","[-0.047, -0.135, 0.025, -0.102, -0.040, 0.057]","[-0.088, -0.155, 0.013, -0.114, -0.070, 0.031]"
4,1,-6.4085,-6.1085,0.000,131,327,23,0,0.994,35,0.00,61,200.28,0,0,11.819(14.774%)(0.000m),21.672(19.122%)(0.179m),53.828(47.495%)(3.624m),83.000(73.236%)(6.750m),74.000(92.500%)(5.786m),10.326(25.815%)(0.035m),40.000(100.000%)(3.214m),2498.283,6527.406,57.7,0.0000,"[-0.081, -0.140, 0.026, -0.104, -0.061, 0.054]","[-0.066, -0.125, 0.031, -0.097, -0.044, 0.058]","[-0.088, -0.154, 0.022, -0.109, -0.070, 0.050]"
5,1,-5.0631,-5.8994,1.452,121,310,16,0,0.992,35,0.00,74,341.91,0,0,9.498(11.873%)(0.000m),14.449(12.749%)(0.000m),24.517(21.633%)(0.484m),84.000(74.118%)(6.857m),70.000(87.500%)(5.357m),10.606(26.516%)(0.065m),40.000(100.000%)(3.214m),1901.882,5586.846,59.2,0.0000,"[-0.184, -0.276, -0.155, -0.147, 0.018, 0.054]","[-0.087, -0.150, 0.028, -0.102, 0.126, 0.090]","[-0.281, -0.415, -0.363, -0.219, -0.070, 0.030]"
6,1,-6.4411,-5.9897,1.460,77,191,26,0,0.990,25,0.00,82,143.98,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),33.659(29.699%)(1.463m),17.423(15.374%)(0.000m),10.635(13.294%)(0.000m),40.000(100.000%)(3.214m),10.635(26.587%)(0.068m),3313.405,8555.088,57.4,0.0000,"[-0.585, -0.634, -0.421, -0.049, 0.264, 0.060]","[-0.467, -0.580, -0.282, 0.028, 0.303, 0.076]","[-0.670, -0.680, -0.487, -0.108, 0.216, 0.023]"
7,1,-6.1029,-6.0059,1.759,148,375,19,0,0.988,35,0.00,97,275.29,0,0,62.000(77.500%)(4.500m),75.000(66.177%)(5.893m),46.402(40.943%)(2.829m),20.197(17.821%)(0.021m),11.393(14.241%)(0.000m),40.000(100.000%)(3.214m),10.329(25.823%)(0.035m),2480.843,6141.660,58.7,0.0000,"[-0.757, -0.456, -0.115, 0.254, 0.243, 0.163]","[-0.704, -0.291, 0.085, 0.383, 0.400, 0.208]","[-0.997, -0.617, -0.394, 0.085, -0.049, 0.056]"
8,1,-5.6913,-5.9666,1.196,94,250,16,0,0.986,30,0.00,107,201.78,0,0,10.745(13.431%)(0.000m),18.278(16.128%)(0.000m),38.146(33.659%)(1.944m),96.000(84.706%)(8.143m),76.000(95.000%)(6.000m),10.232(25.579%)(0.025m),40.000(100.000%)(3.214m),3126.914,6267.029,61.6,0.0000,"[-1.050, -0.155, -0.416, -0.045, 0.256, 0.247]","[-0.802, -0.110, -0.052, 0.290, 0.321, 0.281]","[-1.645, -0.235, -1.135, -0.795, 0.206, 0.197]"
9,1,-4.6352,-5.8186,1.150,217,546,21,0,0.984,45,0.00,129,469.16,0,0,35.000(43.750%)(1.607m),46.000(40.588%)(2.786m),42.723(37.697%)(2.435m),19.089(16.843%)(0.000m),10.884(13.604%)(0.000m),40.000(100.000%)(3.214m),9.990(24.974%)(0.000m),751.876,3776.701,58.3,0.0000,"[-0.886, -0.252, -0.021, 0.145, 0.251, -0.042]","[-0.532, 0.059, 0.453, 0.473, 0.514, 0.190]","[-2.638, -1.474, -0.572, -0.436, -1.090, -1.321]"
10,1,-6.1028,-5.8471,0.740,207,520,59,20,0.982,45,0.00,150,430.39,0,0,31.000(38.750%)(1.179m),21.000(18.529%)(0.107m),37.000(32.647%)(1.821m),39.693(35.023%)(2.110m),18.906(23.632%)(0.000m),40.000(100.000%)(3.214m),13.347(33.367%)(0.359m),5130.185,9083.022,58.1,3.4152,"[-1.114, -0.753, 0.154, 0.109, -0.124, -0.365]","[0.285, 0.332, 0.640, 0.719, 0.887, 0.807]","[-2.648, -1.868, -1.691, -1.638, -1.153, -1.462]"
11,1,-6.3915,-5.8965,0.625,81,201,22,0,0.980,25,0.00,159,159.18,0,0,78.639(98.299%)(6.283m),111.000(97.941%)(9.750m),31.289(27.608%)(1.210m),16.475(14.537%)(0.000m),10.146(12.683%)(0.000m),40.000(100.000%)(3.214m),10.271(25.677%)(0.029m),3465.770,8295.159,57.3,0.0000,"[-1.387, -0.774, -0.049, -0.246, -0.262, -0.345]","[1.224, 0.925, 1.221, 1.163, 1.365, 1.337]","[-5.782, -3.399, -2.349, -2.493, -2.974, -3.063]"
12,1,-6.2926,-5.9296,0.459,167,440,43,22,0.978,40,0.00,176,333.65,0,0,41.984(52.480%)(2.355m),78.657(69.404%)(6.285m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),76.230(95.288%)(6.025m),30.302(75.754%)(2.175m),40.000(100.000%)(3.214m),0.000,3878.652,60.9,0.6251,"[-0.286, -0.302, 0.278, 0.066, 0.190, 0.261]","[1.589, 1.263, 1.166, 1.300, 1.570, 1.561]","[-3.137, -1.974, -1.281, -2.011, -1.677, -1.569]"
13,1,-5.3548,-5.8853,0.516,110,271,16,0,0.976,30,0.00,187,207.44,0,0,11.732(14.665%)(0.000m),21.265(18.763%)(0.136m),51.754(45.666%)(3.402m),104.000(91.765%)(9.000m),77.067(96.334%)(6.114m),10.377(25.943%)(0.040m),40.000(100.000%)(3.214m),3561.635,8182.077,57.0,0.5185,"[0.411, 0.717, 0.464, 0.267, 0.897, 0.739]","[2.027, 1.663, 1.787, 1.607, 1.737, 1.586]","[-4.487, -1.585, -3.849, -3.881, -1.210, -1.432]"
14,1,-9.2436,-6.1252,0.414,324,798,38,118,0.974,55,0.00,220,644.93,0,0,18.000(22.500%)(0.000m),35.000(30.882%)(1.607m),113.333(100.000%)(10.000m),70.760(62.435%)(5.439m),34.225(42.781%)(1.524m),11.000(27.500%)(0.107m),24.554(61.385%)(1.559m),3107.197,7558.502,57.0,0.0000,"[0.178, 0.002, 0.373, 0.233, 0.233, 0.343]","[1.829, 1.498, 1.658, 1.671, 1.634, 1.620]","[-1.606, -1.967, -1.250, -1.499, -1.769, -1.135]"
