episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-6.3127,-6.3127,0.000,185,475,42,18,1.000,45,0.00,19,843.19,0,0,52.819(66.024%)(3.516m),29.000(25.588%)(0.964m),21.000(18.529%)(0.107m),20.000(17.647%)(0.000m),22.000(27.500%)(0.214m),38.592(96.481%)(3.063m),40.000(100.000%)(3.214m),0.000,2034.056,59.5,0.0000,"[-0.041, -0.113, 0.071, -0.047, 0.117, -0.092]","[-0.033, -0.098, 0.078, -0.043, 0.130, -0.078]","[-0.053, -0.126, 0.059, -0.062, 0.103, -0.108]"
2,1,-6.2000,-6.2563,0.000,105,254,16,0,0.998,30,0.00,30,370.36,0,0,77.786(97.233%)(6.191m),108.000(95.294%)(9.429m),51.269(45.237%)(3.350m),21.066(18.587%)(0.114m),11.622(14.527%)(0.000m),40.000(100.000%)(3.214m),10.280(25.700%)(0.030m),4337.726,9310.515,56.0,0.0000,"[-0.042, -0.118, 0.077, -0.051, 0.110, -0.093]","[-0.038, -0.116, 0.078, -0.044, 0.114, -0.089]","[-0.051, -0.124, 0.075, -0.068, 0.105, -0.098]"
3,1,-5.6397,-6.0508,0.000,96,236,18,0,0.996,25,0.00,40,343.97,0,0,9.675(12.094%)(0.000m),14.194(12.524%)(0.000m),22.804(20.121%)(0.300m),70.094(61.848%)(5.367m),76.230(95.288%)(6.025m),11.495(28.737%)(0.160m),40.000(100.000%)(3.214m),2998.836,7202.240,56.8,0.0000,"[-0.043, -0.113, 0.071, -0.047, 0.116, -0.090]","[-0.038, -0.103, 0.078, -0.043, 0.120, -0.084]","[-0.053, -0.118, 0.054, -0.067, 0.113, -0.106]"
4,1,-8.9689,-6.7803,1.627,232,566,54,21,0.994,45,0.00,64,1023.05,0,0,48.041(60.051%)(3.004m),87.980(77.629%)(7.284m),28.000(24.706%)(0.857m),20.000(17.647%)(0.000m),24.000(30.000%)(0.429m),35.178(87.945%)(2.698m),40.000(100.000%)(3.214m),0.000,2934.211,56.4,0.0000,"[-0.043, -0.116, 0.076, -0.048, 0.113, -0.085]","[-0.037, -0.112, 0.086, -0.043, 0.122, -0.073]","[-0.052, -0.119, 0.067, -0.056, 0.108, -0.097]"
5,1,-6.3762,-6.6995,1.319,157,386,17,0,0.992,35,0.00,80,684.89,0,0,64.000(80.000%)(4.714m),73.000(64.412%)(5.679m),37.177(32.804%)(1.840m),18.189(16.049%)(0.000m),10.797(13.496%)(0.000m),40.000(100.000%)(3.214m),10.408(26.019%)(0.044m),3140.206,9519.075,56.9,5.5869,"[-0.327, -0.285, -0.007, 0.069, 0.050, 0.069]","[-0.076, -0.137, 0.062, 0.175, 0.120, 0.178]","[-0.547, -0.447, -0.065, -0.038, -0.132, -0.075]"
6,1,-10.5661,-7.3439,1.218,241,586,53,25,0.990,50,0.00,105,1004.46,0,0,53.922(67.403%)(3.635m),35.000(30.882%)(1.607m),23.000(20.294%)(0.321m),20.000(17.647%)(0.000m),23.000(28.750%)(0.321m),40.000(100.000%)(3.214m),27.086(67.715%)(1.831m),0.000,7068.500,56.2,1.0610,"[-0.503, -0.387, -0.125, -0.023, 0.042, 0.039]","[-0.357, -0.210, -0.065, 0.229, 0.181, 0.221]","[-0.774, -0.923, -0.165, -0.308, -0.439, -0.060]"
7,1,-9.0902,-7.5934,0.854,236,577,80,19,0.988,45,0.00,129,1010.45,0,0,18.116(22.646%)(0.000m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),22.000(19.412%)(0.214m),68.225(85.281%)(5.167m),12.781(31.953%)(0.298m),40.000(100.000%)(3.214m),0.000,8136.143,56.6,0.0000,"[-0.944, -0.510, -0.257, -0.153, -0.065, 0.066]","[-0.502, 0.036, -0.155, 0.166, 0.537, 0.249]","[-1.545, -1.908, -0.457, -1.082, -1.580, -0.328]"
8,1,-4.7360,-7.2362,0.665,107,282,18,0,0.986,30,0.00,140,446.44,0,0,9.949(12.436%)(0.000m),15.878(14.010%)(0.000m),29.210(25.773%)(0.987m),88.000(77.647%)(7.286m),73.000(91.250%)(5.679m),10.320(25.801%)(0.034m),40.000(100.000%)(3.214m),2126.327,4888.416,60.9,0.0000,"[-0.532, -0.458, -0.256, -0.067, -0.104, -0.085]","[-0.083, -0.020, -0.105, 0.141, 0.210, -0.001]","[-1.943, -0.926, -0.491, -0.354, -0.511, -0.191]"
9,1,-5.2253,-7.0128,0.632,132,328,19,0,0.984,35,0.00,154,569.54,0,0,12.164(15.205%)(0.000m),24.417(21.544%)(0.473m),70.805(62.475%)(5.443m),98.000(86.471%)(8.357m),76.230(95.288%)(6.025m),9.736(24.339%)(0.000m),40.000(100.000%)(3.214m),2971.225,7556.773,57.6,0.0000,"[-0.287, 0.092, -0.130, 0.116, 0.375, 0.102]","[0.254, 0.386, -0.062, 0.266, 0.739, 0.378]","[-1.668, -0.250, -0.303, -0.174, 0.005, -0.089]"
10,1,-5.9808,-6.9096,0.696,118,288,18,0,0.982,30,0.00,166,502.17,0,0,77.786(97.233%)(6.191m),97.000(85.588%)(8.250m),32.752(28.899%)(1.366m),16.954(14.959%)(0.000m),10.348(12.935%)(0.000m),40.000(100.000%)(3.214m),10.348(25.871%)(0.037m),3634.122,8029.145,56.5,0.0000,"[-0.882, -0.846, -0.609, -1.041, -0.661, -0.442]","[0.140, 0.403, 0.029, 0.094, 0.627, 0.228]","[-3.209, -3.735, -2.035, -3.691, -3.830, -2.108]"
11,1,-5.5601,-6.7869,0.475,164,398,19,0,0.980,40,0.00,183,776.24,0,0,10.551(13.189%)(0.000m),17.286(15.252%)(0.000m),33.394(29.465%)(1.435m),79.000(69.706%)(6.321m),67.000(83.750%)(5.036m),10.551(26.378%)(0.059m),40.000(100.000%)(3.214m),2842.162,6694.748,56.1,0.0000,"[0.055, 0.171, -0.179, 0.267, 0.508, 0.287]","[0.831, 0.748, 0.255, 0.893, 1.088, 0.697]","[-3.603, -1.925, -1.703, -1.719, -1.640, -1.022]"
12,1,-4.8113,-6.6223,0.357,216,535,19,0,0.978,45,0.00,205,915.42,0,0,10.550(13.188%)(0.000m),17.284(15.251%)(0.000m),33.391(29.463%)(1.435m),50.000(44.118%)(3.214m),37.000(46.250%)(1.821m),10.550(26.375%)(0.059m),40.000(100.000%)(3.214m),1295.071,5044.504,57.3,0.0000,"[-0.400, -0.242, -0.334, -0.305, -0.162, 0.012]","[1.088, 1.037, 0.524, 1.100, 1.280, 1.096]","[-4.551, -3.100, -3.052, -2.902, -3.026, -1.759]"
13,1,-3.7064,-6.3980,0.314,248,629,39,0,0.976,50,0.00,230,1053.14,0,0,39.000(48.750%)(2.036m),60.000(52.941%)(4.286m),102.000(90.000%)(8.786m),29.438(25.975%)(1.011m),13.627(17.034%)(0.000m),33.000(82.500%)(2.464m),9.635(24.086%)(0.000m),2656.390,6222.226,58.7,0.0000,"[-1.142, -1.071, -0.773, -1.286, -1.107, -0.624]","[1.192, 1.152, 0.874, 1.195, 1.444, 0.959]","[-3.295, -3.621, -2.085, -4.149, -3.990, -2.575]"
14,1,-5.8483,-6.3587,0.295,130,315,19,0,0.974,35,0.00,243,572.74,0,0,10.215(12.769%)(0.000m),16.735(14.766%)(0.000m),32.330(28.526%)(1.321m),92.000(81.177%)(7.714m),67.684(84.605%)(5.109m),10.215(25.537%)(0.023m),40.000(100.000%)(3.214m),3914.454,7269.221,56.1,0.0000,"[-0.256, -0.030, -0.277, 0.128, 0.203, 0.177]","[1.168, 1.259, 1.158, 1.176, 1.493, 1.091]","[-5.875, -5.549, -5.819, -4.216, -5.246, -3.428]"
15,1,-6.1409,-6.3442,0.288,112,270,19,0,0.972,30,0.00,255,496.03,0,0,77.786(97.233%)(6.191m),105.000(92.647%)(9.107m),54.299(47.911%)(3.675m),21.244(18.745%)(0.133m),11.449(14.311%)(0.000m),40.000(100.000%)(3.214m),9.879(24.699%)(0.000m),4263.208,9047.366,55.7,1.1501,"[-1.045, -0.913, -0.724, -1.169, -1.059, -0.876]","[0.873, 1.197, 0.768, 1.035, 1.226, 0.841]","[-3.740, -3.975, -2.624, -4.462, -4.424, -3.393]"
16,1,-5.8400,-6.3127,0.316,105,257,16,0,0.970,30,0.00,266,457.87,0,0,9.582(11.978%)(0.000m),13.511(11.921%)(0.000m),20.549(18.132%)(0.059m),50.012(44.128%)(3.216m),67.642(84.553%)(5.105m),12.282(30.704%)(0.244m),40.000(100.000%)(3.214m),3880.915,6512.710,56.6,0.0000,"[-0.547, -0.422, -0.608, -0.226, -0.402, -0.178]","[0.859, 1.257, 1.137, 0.905, 1.218, 0.926]","[-6.796, -7.193, -7.377, -5.318, -7.365, -4.603]"
