episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-5.4700,-5.4700,0.000,92,240,22,0,1.000,30,0.00,10,511.97,0,0,10.529(13.161%)(0.000m),17.570(15.503%)(0.000m),35.209(31.067%)(1.630m),96.000(84.706%)(8.143m),77.067(96.334%)(6.114m),10.274(25.686%)(0.029m),40.000(100.000%)(3.214m),2756.599,5889.732,60.4,0.0000,"[0.095, 0.021, -0.088, -0.011, -0.067, 0.121]","[0.097, 0.023, -0.082, -0.004, -0.036, 0.128]","[0.089, 0.017, -0.093, -0.015, -0.080, 0.118]"
2,1,-5.5742,-5.5221,0.000,156,378,14,0,0.998,35,0.00,26,547.51,0,0,66.167(82.709%)(4.946m),91.000(80.294%)(7.607m),62.491(55.139%)(4.553m),23.370(20.621%)(0.361m),11.971(14.963%)(0.000m),40.000(100.000%)(3.214m),9.826(24.564%)(0.000m),4240.868,8026.320,56.0,0.0000,"[0.099, 0.022, -0.088, -0.015, -0.071, 0.119]","[0.110, 0.028, -0.082, -0.010, -0.043, 0.124]","[0.093, 0.020, -0.099, -0.023, -0.080, 0.107]"
3,1,-5.8028,-5.6157,0.000,100,243,16,0,0.996,25,0.00,36,349.05,0,0,77.786(97.233%)(6.191m),99.375(87.684%)(8.504m),25.323(22.344%)(0.570m),15.100(13.324%)(0.000m),10.001(12.501%)(0.000m),40.000(100.000%)(3.214m),11.306(28.266%)(0.140m),3874.206,8039.207,56.3,0.0000,"[0.098, 0.022, -0.089, -0.013, -0.069, 0.120]","[0.109, 0.025, -0.082, -0.010, -0.030, 0.125]","[0.094, 0.020, -0.098, -0.020, -0.080, 0.108]"
4,1,-6.4287,-5.8189,0.000,76,185,27,0,0.994,25,0.00,44,261.39,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),41.373(36.505%)(2.290m),18.947(16.718%)(0.000m),10.916(13.645%)(0.000m),40.000(100.000%)(3.214m),10.143(25.358%)(0.015m),4196.329,9580.152,56.5,7.0199,"[0.098, 0.022, -0.091, -0.015, -0.066, 0.119]","[0.109, 0.025, -0.082, -0.010, -0.035, 0.125]","[0.093, 0.020, -0.097, -0.021, -0.080, 0.109]"
5,1,-5.5078,-5.7567,2.038,196,496,57,23,0.992,45,0.00,64,873.66,0,0,51.240(64.050%)(3.347m),79.000(69.706%)(6.321m),29.000(25.588%)(0.964m),20.000(17.647%)(0.000m),23.000(28.750%)(0.321m),40.000(100.000%)(3.214m),35.790(89.475%)(2.763m),0.000,2334.898,58.6,1.1770,"[0.096, 0.022, -0.090, -0.013, -0.070, 0.123]","[0.100, 0.027, -0.082, -0.006, -0.050, 0.129]","[0.094, 0.016, -0.099, -0.018, -0.082, 0.115]"
6,1,-5.5915,-5.7292,1.761,180,453,19,0,0.990,40,0.00,82,829.95,0,0,9.683(12.103%)(0.000m),14.619(12.900%)(0.000m),24.517(21.633%)(0.484m),56.000(49.412%)(3.857m),47.000(58.750%)(2.893m),10.946(27.366%)(0.101m),40.000(100.000%)(3.214m),1085.779,4544.596,58.3,0.0000,"[-0.231, -0.084, -0.504, 0.042, -0.032, 0.139]","[0.066, 0.006, -0.125, 0.154, 0.041, 0.251]","[-0.679, -0.214, -0.864, -0.008, -0.073, 0.123]"
7,1,-5.1846,-5.6514,1.231,163,430,9,13,0.988,40,0.00,99,704.21,0,0,56.506(70.632%)(3.911m),113.333(100.000%)(10.000m),20.000(17.647%)(0.000m),21.000(18.529%)(0.107m),77.067(96.334%)(6.114m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2939.595,61.0,0.0000,"[-0.411, -0.262, -0.812, 0.085, 0.361, 0.214]","[-0.070, -0.169, -0.593, 0.157, 0.490, 0.289]","[-0.631, -0.289, -1.048, -0.044, 0.162, 0.126]"
8,1,-5.1274,-5.5859,1.506,88,224,20,0,0.986,25,0.00,108,382.17,0,0,69.057(86.321%)(5.256m),98.748(87.131%)(8.437m),25.164(22.203%)(0.553m),15.005(13.240%)(0.000m),9.938(12.422%)(0.000m),40.000(100.000%)(3.214m),11.235(28.087%)(0.132m),2692.837,6440.620,58.8,0.0000,"[-0.026, -0.215, -0.678, 0.116, 0.585, 0.363]","[0.196, -0.081, -0.173, 0.456, 0.634, 0.522]","[-0.183, -0.297, -1.807, -0.627, 0.534, 0.048]"
9,1,-6.2230,-5.6567,1.391,173,418,19,0,0.984,40,0.00,126,740.92,0,0,10.767(13.459%)(0.000m),18.139(16.005%)(0.000m),37.077(32.715%)(1.830m),73.000(64.412%)(5.679m),65.000(81.250%)(4.821m),10.380(25.949%)(0.041m),40.000(100.000%)(3.214m),2534.606,5775.393,55.9,0.0000,"[-0.183, -0.333, 0.260, 0.935, 0.876, 0.876]","[0.140, -0.176, 0.883, 1.703, 1.007, 1.473]","[-1.069, -0.709, -0.156, 0.590, 0.744, 0.678]"
10,1,-5.9288,-5.6839,1.209,81,200,19,0,0.982,25,0.00,135,340.77,0,0,78.639(98.299%)(6.283m),46.964(41.439%)(2.889m),19.297(17.027%)(0.000m),12.687(11.195%)(0.000m),8.998(11.248%)(0.000m),40.000(100.000%)(3.214m),11.533(28.833%)(0.164m),3510.806,7323.518,57.1,1.1632,"[0.405, -0.042, -0.882, 0.161, 0.723, 0.828]","[0.570, 0.074, 0.649, 1.159, 1.094, 1.074]","[0.238, -0.367, -3.805, -1.770, -0.159, 0.284]"
