episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-6.1819,-6.1819,0.000,141,350,18,0,1.000,35,0.00,15,606.74,0,0,70.000(87.500%)(5.357m),79.000(69.706%)(6.321m),23.342(20.596%)(0.358m),14.077(12.421%)(0.000m),9.392(11.740%)(0.000m),40.000(100.000%)(3.214m),10.750(26.875%)(0.080m),2273.117,5616.021,57.4,0.0000,"[0.050, -0.056, 0.015, -0.125, 0.084, -0.131]","[0.053, -0.036, 0.022, -0.120, 0.087, -0.125]","[0.038, -0.062, -0.000, -0.142, 0.066, -0.143]"
2,1,-5.8174,-5.9997,0.000,65,160,16,0,0.998,20,0.00,22,194.26,0,0,78.639(98.299%)(6.283m),36.548(32.248%)(1.773m),17.131(15.116%)(0.000m),11.709(10.331%)(0.000m),8.562(10.703%)(0.000m),40.000(100.000%)(3.214m),11.709(29.272%)(0.183m),4196.329,8385.383,57.1,0.0000,"[0.052, -0.052, 0.007, -0.127, 0.080, -0.132]","[0.057, -0.015, 0.019, -0.120, 0.086, -0.125]","[0.044, -0.062, -0.004, -0.135, 0.058, -0.135]"
3,1,-5.8812,-5.9602,0.000,102,250,17,0,0.996,30,0.00,33,319.29,0,0,11.463(14.328%)(0.000m),20.777(18.333%)(0.083m),50.567(44.618%)(3.275m),112.000(98.824%)(9.857m),76.230(95.288%)(6.025m),10.139(25.348%)(0.015m),40.000(100.000%)(3.214m),4079.953,9245.060,56.7,0.0000,"[0.038, -0.041, 0.006, -0.115, 0.074, -0.136]","[0.050, -0.009, 0.019, -0.108, 0.086, -0.133]","[0.029, -0.058, -0.011, -0.120, 0.054, -0.140]"
4,1,-5.9427,-5.9558,0.000,135,330,20,0,0.994,35,0.00,47,396.05,0,0,78.639(98.299%)(6.283m),90.000(79.412%)(7.500m),60.833(53.676%)(4.375m),22.834(20.147%)(0.304m),11.852(14.815%)(0.000m),40.000(100.000%)(3.214m),9.851(24.628%)(0.000m),4622.480,10105.887,56.6,0.0000,"[0.048, -0.054, 0.009, -0.130, 0.079, -0.135]","[0.056, -0.037, 0.021, -0.120, 0.087, -0.129]","[0.038, -0.060, 0.002, -0.139, 0.066, -0.141]"
5,1,-3.9041,-5.5455,0.000,266,710,7,46,0.992,55,0.00,74,840.43,0,0,22.938(28.673%)(0.315m),47.072(41.534%)(2.901m),106.000(93.530%)(9.214m),43.000(37.941%)(2.464m),24.000(30.000%)(0.429m),16.196(40.491%)(0.664m),19.000(47.500%)(0.964m),2441.649,6087.474,61.8,0.0000,"[0.039, -0.046, 0.001, -0.117, 0.077, -0.140]","[0.050, -0.029, 0.019, -0.105, 0.086, -0.133]","[0.017, -0.058, -0.016, -0.129, 0.071, -0.151]"
6,1,-6.4126,-5.6900,0.000,145,350,17,0,0.990,35,0.00,89,432.25,0,0,69.098(86.372%)(5.260m),92.000(81.177%)(7.714m),51.344(45.303%)(3.358m),21.096(18.615%)(0.117m),11.639(14.548%)(0.000m),40.000(100.000%)(3.214m),10.295(25.737%)(0.032m),3134.469,8388.657,55.8,0.0000,"[0.049, -0.054, 0.011, -0.126, 0.082, -0.134]","[0.054, -0.034, 0.021, -0.117, 0.087, -0.128]","[0.039, -0.061, 0.001, -0.136, 0.065, -0.140]"
7,1,-7.1610,-5.9001,0.000,181,436,20,0,0.988,40,0.00,108,546.70,0,0,61.000(76.250%)(4.393m),66.000(58.235%)(4.929m),25.550(22.544%)(0.595m),15.408(13.596%)(0.000m),10.281(12.851%)(0.000m),40.000(100.000%)(3.214m),11.767(29.418%)(0.189m),2509.567,5641.110,55.7,0.0000,"[0.050, -0.054, 0.014, -0.124, 0.084, -0.132]","[0.056, -0.032, 0.022, -0.118, 0.088, -0.124]","[0.041, -0.061, -0.003, -0.141, 0.064, -0.139]"
8,1,-4.4918,-5.7241,0.000,138,358,63,0,0.986,35,0.00,122,365.99,0,0,12.403(15.504%)(0.000m),25.642(22.626%)(0.605m),95.968(84.678%)(8.139m),80.000(70.588%)(6.429m),56.000(70.000%)(3.857m),9.677(24.192%)(0.000m),40.000(100.000%)(3.214m),3330.933,7832.187,60.1,0.0000,"[0.035, -0.037, -0.002, -0.115, 0.070, -0.136]","[0.049, -0.023, 0.019, -0.106, 0.086, -0.133]","[0.024, -0.057, -0.020, -0.123, 0.060, -0.139]"
9,1,-6.5744,-5.8186,0.000,125,299,18,0,0.984,30,0.00,135,368.10,0,0,9.576(11.970%)(0.000m),14.459(12.758%)(0.000m),24.248(21.395%)(0.455m),95.153(83.959%)(8.052m),77.067(96.334%)(6.114m),10.826(27.065%)(0.088m),40.000(100.000%)(3.214m),3715.263,8302.989,55.3,0.0000,"[0.041, -0.045, 0.012, -0.116, 0.078, -0.137]","[0.049, -0.001, 0.019, -0.108, 0.086, -0.133]","[0.030, -0.057, -0.013, -0.120, 0.050, -0.143]"
10,1,-4.5619,-5.6929,0.000,218,538,5,20,0.982,45,0.00,157,599.86,0,0,38.816(48.520%)(2.016m),77.891(68.728%)(6.203m),56.000(49.412%)(3.857m),21.000(18.529%)(0.107m),26.000(32.500%)(0.643m),27.972(69.931%)(1.926m),40.000(100.000%)(3.214m),0.000,5645.349,57.1,0.0000,"[0.046, -0.048, 0.004, -0.114, 0.080, -0.139]","[0.050, -0.031, 0.019, -0.105, 0.086, -0.133]","[0.041, -0.058, -0.017, -0.138, 0.073, -0.147]"
11,1,-8.0587,-5.9080,0.000,247,607,72,21,0.980,50,0.00,182,698.35,0,0,29.000(36.250%)(0.964m),33.000(29.118%)(1.393m),38.000(33.530%)(1.929m),19.713(17.394%)(0.000m),11.239(14.049%)(0.000m),37.320(93.300%)(2.927m),10.316(25.790%)(0.034m),419.297,3808.276,56.9,0.0000,"[0.045, -0.050, 0.013, -0.119, 0.080, -0.137]","[0.050, -0.026, 0.022, -0.110, 0.086, -0.123]","[0.034, -0.057, -0.006, -0.138, 0.065, -0.145]"
12,1,-6.0800,-5.9223,0.000,100,242,15,0,0.978,25,0.00,192,263.90,0,0,9.830(12.287%)(0.000m),13.860(12.229%)(0.000m),21.080(18.600%)(0.116m),51.304(45.268%)(3.354m),76.230(95.288%)(6.025m),12.599(31.497%)(0.278m),40.000(100.000%)(3.214m),4012.941,7903.449,56.0,0.0000,"[0.040, -0.044, 0.011, -0.115, 0.077, -0.137]","[0.050, 0.003, 0.020, -0.103, 0.086, -0.133]","[0.030, -0.058, -0.020, -0.120, 0.050, -0.144]"
13,1,-6.1009,-5.9361,0.000,90,219,15,0,0.976,25,0.00,201,251.81,0,0,12.566(15.707%)(0.000m),25.979(22.922%)(0.641m),66.091(58.316%)(4.938m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),9.804(24.509%)(0.000m),40.000(100.000%)(3.214m),4968.105,9948.396,56.2,0.0000,"[0.037, -0.039, 0.006, -0.115, 0.073, -0.137]","[0.049, -0.016, 0.019, -0.112, 0.086, -0.133]","[0.029, -0.057, -0.011, -0.120, 0.057, -0.140]"
14,1,-7.4359,-6.0432,0.000,101,242,17,0,0.974,25,0.00,212,284.92,0,0,77.786(97.233%)(6.191m),87.327(77.054%)(7.214m),23.900(21.088%)(0.418m),14.413(12.718%)(0.000m),9.617(12.021%)(0.000m),40.000(100.000%)(3.214m),11.007(27.518%)(0.108m),4338.087,9736.045,55.4,0.0000,"[0.051, -0.054, 0.010, -0.128, 0.082, -0.133]","[0.055, -0.029, 0.021, -0.120, 0.087, -0.129]","[0.041, -0.061, -0.002, -0.141, 0.062, -0.139]"
15,1,-4.3583,-5.9309,0.000,129,340,18,0,0.972,35,0.00,225,377.25,0,0,10.802(13.502%)(0.000m),17.540(15.476%)(0.000m),33.312(29.393%)(1.426m),73.000(64.412%)(5.679m),61.000(76.250%)(4.393m),10.935(27.337%)(0.100m),40.000(100.000%)(3.214m),1708.689,4414.873,60.9,0.0000,"[0.044, -0.049, 0.008, -0.115, 0.079, -0.135]","[0.052, -0.004, 0.020, -0.104, 0.086, -0.130]","[0.024, -0.061, -0.013, -0.123, 0.046, -0.144]"
