episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-1.5176,-1.5176,0.000,163,431,32,10,1.000,40,0.00,17,604.08,0,0,47.809(59.761%)(2.980m),56.000(49.412%)(3.857m),30.000(26.471%)(1.071m),22.000(19.412%)(0.214m),22.000(27.500%)(0.214m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2739.525,61.2,0.0000,"[-0.077, -0.023, -0.077, -0.082, -0.063, -0.060]","[-0.068, -0.012, -0.064, -0.076, -0.038, -0.049]","[-0.106, -0.052, -0.097, -0.085, -0.075, -0.072]"
2,1,-4.8794,-3.1985,0.000,126,317,18,0,0.998,35,0.00,30,267.56,0,0,72.000(90.000%)(5.571m),93.000(82.059%)(7.821m),42.480(37.482%)(2.409m),19.454(17.166%)(0.000m),11.208(14.010%)(0.000m),40.000(100.000%)(3.214m),10.415(26.037%)(0.044m),2935.818,7105.588,58.2,0.0000,"[-0.072, -0.041, -0.076, -0.079, -0.056, -0.059]","[-0.067, -0.025, -0.070, -0.069, -0.048, -0.057]","[-0.079, -0.065, -0.092, -0.084, -0.067, -0.064]"
3,1,-5.7169,-4.0379,0.000,66,159,18,0,0.996,20,0.00,37,175.48,0,0,78.639(98.299%)(6.283m),46.625(41.140%)(2.853m),19.158(16.904%)(0.000m),12.596(11.114%)(0.000m),8.933(11.167%)(0.000m),40.000(100.000%)(3.214m),11.450(28.625%)(0.155m),4789.453,9609.017,55.7,0.0000,"[-0.070, -0.039, -0.079, -0.078, -0.061, -0.059]","[-0.063, -0.025, -0.074, -0.072, -0.053, -0.051]","[-0.075, -0.064, -0.088, -0.082, -0.070, -0.064]"
4,1,-5.8178,-4.4829,0.000,161,415,80,0,0.994,40,0.00,54,368.80,0,0,50.000(62.500%)(3.214m),85.000(75.000%)(6.964m),85.834(75.737%)(7.054m),26.589(23.461%)(0.706m),12.663(15.829%)(0.000m),40.000(100.000%)(3.214m),9.754(24.384%)(0.000m),4968.105,8320.899,59.7,0.0000,"[-0.072, -0.056, -0.080, -0.075, -0.057, -0.059]","[-0.064, -0.025, -0.072, -0.071, -0.052, -0.056]","[-0.086, -0.074, -0.092, -0.083, -0.063, -0.063]"
5,1,-8.8797,-5.3623,1.177,265,652,70,44,0.992,50,0.00,81,841.23,0,0,24.000(30.000%)(0.429m),27.000(23.824%)(0.750m),32.000(28.235%)(1.286m),20.308(17.919%)(0.033m),11.203(14.004%)(0.000m),31.521(78.804%)(2.306m),9.910(24.775%)(0.000m),170.512,6058.015,56.9,0.0000,"[-0.153, -0.035, -0.225, -0.006, -0.064, -0.225]","[-0.069, 0.001, -0.074, 0.096, -0.004, -0.051]","[-0.250, -0.090, -0.702, -0.082, -0.259, -0.627]"
6,1,-5.0386,-5.3083,1.036,132,323,21,0,0.990,35,0.00,95,429.78,0,0,11.189(13.986%)(0.000m),19.836(17.502%)(0.000m),45.572(40.211%)(2.740m),96.000(84.706%)(8.143m),76.230(95.288%)(6.025m),10.145(25.361%)(0.015m),40.000(100.000%)(3.214m),3743.450,7915.688,56.6,5.5329,"[-0.112, -0.172, -0.550, 0.082, 0.087, -0.240]","[-0.064, -0.131, -0.250, 0.126, 0.184, -0.026]","[-0.192, -0.194, -0.737, 0.026, 0.010, -0.422]"
7,1,-5.8581,-5.3869,0.841,91,221,22,0,0.988,25,0.00,105,288.96,0,0,10.258(12.823%)(0.000m),16.657(14.697%)(0.000m),31.635(27.913%)(1.247m),108.000(95.294%)(9.429m),76.230(95.288%)(6.025m),10.384(25.961%)(0.041m),40.000(100.000%)(3.214m),4186.479,8511.868,56.2,0.0000,"[-0.088, -0.129, -0.219, 0.100, 0.298, -0.015]","[-0.061, -0.078, -0.094, 0.132, 0.344, -0.003]","[-0.104, -0.175, -0.370, 0.067, 0.242, -0.042]"
8,1,-5.7140,-5.4278,0.989,136,335,18,0,0.986,35,0.00,119,418.59,0,0,9.706(12.133%)(0.000m),14.655(12.931%)(0.000m),24.577(21.686%)(0.490m),80.000(70.588%)(6.429m),72.000(90.000%)(5.571m),10.973(27.433%)(0.104m),40.000(100.000%)(3.214m),2814.040,7235.910,57.1,0.0000,"[-0.048, 0.014, -0.193, 0.267, 0.563, 0.086]","[-0.002, 0.100, -0.134, 0.342, 0.666, 0.135]","[-0.086, -0.082, -0.247, 0.189, 0.458, 0.017]"
9,1,-6.1787,-5.5112,1.002,76,182,20,0,0.984,25,0.00,127,239.50,0,0,78.639(98.299%)(6.283m),100.144(88.362%)(8.587m),25.519(22.517%)(0.591m),15.217(13.427%)(0.000m),10.078(12.598%)(0.000m),40.000(100.000%)(3.214m),11.394(28.484%)(0.149m),4968.105,10139.341,55.3,0.0000,"[-0.085, -0.117, -0.700, 0.062, -0.175, -0.180]","[0.141, 0.168, -0.262, 0.399, 0.813, 0.295]","[-0.771, -0.878, -2.014, -0.763, -2.818, -1.865]"
10,1,-6.8819,-5.6483,0.836,188,464,28,0,0.982,40,0.00,146,632.76,0,0,11.340(14.175%)(0.000m),20.103(17.738%)(0.011m),46.186(40.753%)(2.806m),60.000(52.941%)(4.286m),50.014(62.517%)(3.216m),10.281(25.703%)(0.030m),36.409(91.022%)(2.830m),1524.963,5172.391,57.1,0.0000,"[0.064, -0.028, -0.163, 0.295, 0.312, 0.134]","[0.269, 0.223, 0.023, 0.491, 0.683, 0.438]","[-0.324, -0.375, -0.369, 0.011, -0.491, -0.620]"
