episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-6.8692,-6.8692,0.000,296,730,16,0,1.000,85,0.00,30,694.55,0,0,53.400(66.751%)(3.579m),62.000(54.706%)(4.500m),34.674(30.595%)(1.572m),17.949(15.837%)(0.000m),10.956(13.695%)(0.000m),38.896(97.241%)(3.096m),10.956(27.389%)(0.102m),2422.376,7172.247,57.1,0.0000,"[-0.014, 0.221, 0.047, 0.087, 0.169, 0.105]","[-0.005, 0.230, 0.058, 0.097, 0.177, 0.113]","[-0.028, 0.194, 0.013, 0.079, 0.135, 0.067]"
2,1,-5.4603,-6.1647,0.000,179,442,16,0,0.998,70,0.00,48,329.53,0,0,10.292(12.865%)(0.000m),15.657(13.815%)(0.000m),26.566(23.441%)(0.704m),93.000(82.059%)(7.821m),60.601(75.751%)(4.350m),11.493(28.732%)(0.160m),40.000(100.000%)(3.214m),3284.972,8157.671,57.2,0.0000,"[-0.017, 0.216, 0.043, 0.079, 0.166, 0.103]","[-0.010, 0.229, 0.058, 0.094, 0.176, 0.113]","[-0.062, 0.156, -0.020, 0.020, 0.108, 0.050]"
3,1,-6.1042,-6.1446,0.000,83,206,22,0,0.996,50,0.00,57,150.08,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),33.617(29.662%)(1.459m),17.401(15.354%)(0.000m),10.622(13.277%)(0.000m),40.000(100.000%)(3.214m),10.622(26.554%)(0.067m),6527.184,10159.854,57.4,0.0000,"[-0.016, 0.218, 0.044, 0.091, 0.166, 0.097]","[-0.010, 0.230, 0.058, 0.096, 0.176, 0.113]","[-0.027, 0.196, 0.016, 0.083, 0.136, 0.070]"
4,1,-8.6017,-6.7589,0.000,308,756,47,0,0.994,85,0.00,88,566.59,0,0,9.792(12.239%)(0.000m),15.009(13.243%)(0.000m),25.779(22.747%)(0.619m),41.644(36.745%)(2.319m),19.868(24.835%)(0.000m),10.800(26.999%)(0.086m),14.027(35.066%)(0.431m),2359.510,6692.726,56.8,0.0000,"[-0.018, 0.214, 0.041, 0.090, 0.161, 0.096]","[-0.007, 0.230, 0.058, 0.108, 0.176, 0.113]","[-0.063, 0.154, -0.021, 0.019, 0.107, 0.049]"
5,1,-5.4442,-6.4959,0.000,110,271,16,0,0.992,60,0.00,99,185.31,0,0,11.315(14.143%)(0.000m),20.509(18.096%)(0.055m),49.914(44.042%)(3.205m),113.333(100.000%)(10.000m),76.230(95.288%)(6.025m),10.008(25.021%)(0.001m),40.000(100.000%)(3.214m),8072.825,11737.663,56.9,0.0000,"[-0.022, 0.207, 0.033, 0.069, 0.159, 0.096]","[-0.013, 0.229, 0.057, 0.090, 0.176, 0.112]","[-0.058, 0.154, -0.020, 0.027, 0.114, 0.052]"
6,1,-5.4458,-6.3209,0.000,92,226,16,0,0.990,55,0.00,109,187.03,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),67.738(59.769%)(5.115m),26.853(23.694%)(0.734m),12.734(15.918%)(0.000m),40.000(100.000%)(3.214m),9.683(24.208%)(0.000m),8578.631,10332.059,56.9,0.0000,"[-0.018, 0.217, 0.043, 0.094, 0.164, 0.094]","[-0.010, 0.229, 0.058, 0.114, 0.176, 0.113]","[-0.029, 0.204, 0.022, 0.089, 0.143, 0.074]"
7,1,-4.1651,-6.0129,0.000,289,759,21,21,0.988,85,0.00,138,579.11,0,0,27.000(33.750%)(0.750m),47.000(41.471%)(2.893m),52.836(46.620%)(3.518m),21.029(18.555%)(0.110m),11.468(14.335%)(0.000m),40.000(100.000%)(3.214m),10.019(25.048%)(0.002m),2491.649,5468.511,60.8,0.0000,"[-0.013, 0.216, 0.041, 0.092, 0.166, 0.100]","[-0.007, 0.229, 0.058, 0.113, 0.177, 0.113]","[-0.029, 0.198, 0.020, 0.079, 0.137, 0.071]"
8,1,-4.2109,-5.7877,0.000,343,834,17,0,0.986,85,0.00,173,632.71,0,0,10.869(13.586%)(0.000m),18.311(16.157%)(0.000m),37.427(33.024%)(1.867m),64.000(56.471%)(4.714m),49.000(61.250%)(3.107m),10.478(26.194%)(0.051m),40.000(100.000%)(3.214m),4124.709,8002.506,56.3,6.3496,"[-0.019, 0.215, 0.043, 0.080, 0.165, 0.101]","[-0.011, 0.229, 0.058, 0.092, 0.176, 0.113]","[-0.057, 0.154, -0.020, 0.025, 0.109, 0.053]"
9,1,-5.0912,-5.7103,0.000,148,357,24,0,0.984,65,0.00,188,274.21,0,0,11.605(14.507%)(0.000m),21.534(19.001%)(0.164m),55.990(49.403%)(3.856m),111.000(97.941%)(9.750m),76.230(95.288%)(6.025m),10.014(25.036%)(0.002m),40.000(100.000%)(3.214m),7959.936,10307.082,55.8,0.0000,"[-0.021, 0.208, 0.035, 0.070, 0.159, 0.098]","[-0.013, 0.229, 0.057, 0.090, 0.177, 0.112]","[-0.054, 0.161, -0.013, 0.031, 0.116, 0.059]"
10,1,-5.5401,-5.6933,0.000,193,472,17,0,0.982,70,0.00,208,368.01,0,0,10.463(13.079%)(0.000m),17.142(15.125%)(0.000m),33.115(29.219%)(1.405m),91.000(80.294%)(7.607m),61.452(76.815%)(4.441m),10.463(26.158%)(0.050m),40.000(100.000%)(3.214m),4825.291,8366.838,56.6,0.0000,"[-0.018, 0.216, 0.043, 0.078, 0.165, 0.103]","[-0.010, 0.230, 0.058, 0.093, 0.176, 0.113]","[-0.062, 0.152, -0.022, 0.020, 0.110, 0.050]"
