episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-4.9583,-4.9583,0.000,113,301,15,0,1.000,50,0.00,12,220.13,0,0,78.639(98.299%)(6.283m),93.000(82.059%)(7.821m),31.226(27.553%)(1.203m),18.620(16.429%)(0.000m),12.332(15.415%)(0.000m),40.000(100.000%)(3.214m),13.942(34.854%)(0.422m),3482.821,9047.048,61.6,0.0000,"[-0.289, -0.251, -0.107, -0.081, -0.269, -0.146]","[-0.286, -0.247, -0.099, -0.078, -0.265, -0.140]","[-0.291, -0.254, -0.112, -0.085, -0.271, -0.150]"
2,1,-3.9342,-4.4462,0.000,340,850,88,45,0.998,75,0.00,46,204.73,0,0,18.152(22.690%)(0.000m),29.475(26.007%)(1.015m),26.000(22.941%)(0.643m),25.000(22.059%)(0.536m),34.000(42.500%)(1.500m),18.375(45.939%)(0.897m),36.243(90.607%)(2.812m),430.482,4858.702,57.8,0.0000,"[-0.281, -0.243, -0.106, -0.081, -0.264, -0.148]","[-0.266, -0.218, -0.086, -0.066, -0.244, -0.134]","[-0.289, -0.251, -0.116, -0.097, -0.273, -0.164]"
3,1,-3.8332,-4.2419,0.000,128,334,33,0,0.996,50,0.00,59,83.27,0,0,15.071(18.839%)(0.000m),32.017(28.250%)(1.287m),80.000(70.588%)(6.429m),99.000(87.353%)(8.464m),77.067(96.334%)(6.114m),10.449(26.124%)(0.048m),40.000(100.000%)(3.214m),2230.064,6131.002,60.4,0.0000,"[-0.283, -0.239, -0.105, -0.091, -0.262, -0.151]","[-0.272, -0.235, -0.099, -0.083, -0.257, -0.149]","[-0.289, -0.248, -0.112, -0.097, -0.271, -0.155]"
4,1,-4.6231,-4.3372,0.000,202,510,16,0,0.994,60,0.00,80,93.81,0,0,60.533(75.667%)(4.343m),83.000(73.236%)(6.750m),29.388(25.931%)(1.006m),17.524(15.462%)(0.000m),11.606(14.508%)(0.000m),40.000(100.000%)(3.214m),13.121(32.802%)(0.334m),2145.947,8609.433,58.4,0.0000,"[-0.287, -0.247, -0.107, -0.082, -0.268, -0.149]","[-0.282, -0.243, -0.094, -0.076, -0.262, -0.145]","[-0.300, -0.251, -0.112, -0.087, -0.271, -0.151]"
5,1,-4.9935,-4.4684,0.000,82,208,24,0,0.992,40,0.00,89,47.42,0,0,12.090(15.113%)(0.000m),21.915(19.337%)(0.205m),53.336(47.062%)(3.572m),105.000(92.647%)(9.107m),77.067(96.334%)(6.114m),10.695(26.736%)(0.074m),40.000(100.000%)(3.214m),4117.543,7183.682,58.8,0.0000,"[-0.284, -0.237, -0.105, -0.089, -0.261, -0.150]","[-0.277, -0.228, -0.098, -0.083, -0.251, -0.148]","[-0.288, -0.248, -0.112, -0.096, -0.271, -0.151]"
6,1,-6.7996,-4.8570,0.000,158,382,21,0,0.990,50,0.00,105,98.89,0,0,17.851(22.314%)(0.000m),26.755(23.608%)(0.724m),44.365(39.145%)(2.611m),104.000(91.765%)(9.000m),56.047(70.058%)(3.862m),20.432(51.081%)(1.118m),40.000(100.000%)(3.214m),4329.732,9375.371,55.9,0.0000,"[-0.285, -0.243, -0.110, -0.085, -0.266, -0.148]","[-0.275, -0.221, -0.099, -0.079, -0.247, -0.143]","[-0.288, -0.249, -0.115, -0.095, -0.271, -0.152]"
7,1,-4.3138,-4.7794,0.000,104,285,16,0,0.988,45,0.00,116,53.51,0,0,78.639(98.299%)(6.283m),104.000(91.765%)(9.000m),42.571(37.563%)(2.418m),21.646(19.100%)(0.176m),13.093(16.366%)(0.000m),40.000(100.000%)(3.214m),12.934(32.334%)(0.314m),3214.850,7486.331,63.4,0.0000,"[-0.289, -0.251, -0.103, -0.081, -0.268, -0.145]","[-0.287, -0.248, -0.089, -0.079, -0.263, -0.140]","[-0.293, -0.253, -0.112, -0.084, -0.273, -0.150]"
8,1,-4.1630,-4.7023,0.000,199,544,29,17,0.986,65,0.00,136,88.49,0,0,48.000(60.000%)(3.000m),25.000(22.059%)(0.536m),24.000(21.177%)(0.429m),50.028(44.143%)(3.217m),23.826(29.782%)(0.410m),40.000(100.000%)(3.214m),16.770(41.925%)(0.725m),0.000,6876.703,63.3,0.0000,"[-0.286, -0.248, -0.101, -0.082, -0.263, -0.143]","[-0.268, -0.227, -0.088, -0.076, -0.243, -0.136]","[-0.293, -0.253, -0.112, -0.085, -0.272, -0.151]"
9,1,-2.7766,-4.4884,0.000,164,412,35,0,0.984,55,0.00,153,76.30,0,0,13.687(17.108%)(0.000m),27.875(24.595%)(0.844m),84.000(74.118%)(6.857m),79.000(69.706%)(6.321m),68.004(85.004%)(5.143m),10.815(27.039%)(0.087m),40.000(100.000%)(3.214m),2346.669,7607.326,58.1,0.0000,"[-0.283, -0.241, -0.107, -0.091, -0.264, -0.151]","[-0.275, -0.234, -0.098, -0.080, -0.258, -0.148]","[-0.289, -0.248, -0.114, -0.098, -0.272, -0.156]"
10,1,-5.3835,-4.5779,0.000,98,237,28,0,0.982,40,0.00,163,61.25,0,0,15.143(18.929%)(0.000m),25.036(22.091%)(0.540m),49.238(43.446%)(3.133m),112.000(98.824%)(9.857m),77.067(96.334%)(6.114m),14.959(37.398%)(0.531m),40.000(100.000%)(3.214m),6071.669,10018.374,55.9,0.0000,"[-0.285, -0.237, -0.107, -0.090, -0.262, -0.150]","[-0.274, -0.222, -0.098, -0.083, -0.249, -0.144]","[-0.289, -0.248, -0.112, -0.098, -0.271, -0.152]"
