episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-6.8061,-6.8061,0.000,102,247,23,0,1.000,40,0.00,11,157.57,0,0,12.146(15.182%)(0.000m),21.770(19.209%)(0.190m),51.428(45.378%)(3.367m),108.000(95.294%)(9.429m),77.067(96.334%)(6.114m),10.877(27.193%)(0.094m),40.000(100.000%)(3.214m),6078.573,9455.727,56.1,0.0000,"[-0.086, -0.121, 0.092, -0.078, -0.050, -0.063]","[-0.075, -0.113, 0.095, -0.066, -0.042, -0.055]","[-0.109, -0.134, 0.086, -0.100, -0.066, -0.067]"
2,1,-5.7101,-6.2581,0.000,142,344,18,0,0.998,50,0.00,26,106.38,0,0,11.696(14.620%)(0.000m),20.963(18.497%)(0.103m),49.523(43.697%)(3.163m),97.000(85.588%)(8.250m),76.230(95.288%)(6.025m),10.474(26.185%)(0.051m),40.000(100.000%)(3.214m),4468.849,9342.853,56.1,0.0000,"[-0.084, -0.119, 0.093, -0.075, -0.048, -0.063]","[-0.074, -0.113, 0.095, -0.066, -0.043, -0.052]","[-0.108, -0.128, 0.088, -0.096, -0.055, -0.067]"
3,1,-6.1220,-6.2127,0.000,120,293,17,0,0.996,45,0.00,38,57.09,0,0,78.639(98.299%)(6.283m),110.000(97.059%)(9.643m),56.189(49.579%)(3.877m),29.586(26.105%)(1.027m),18.220(22.776%)(0.000m),40.000(100.000%)(3.214m),18.444(46.111%)(0.905m),6168.574,14021.519,56.5,0.0000,"[-0.078, -0.112, 0.089, -0.065, -0.044, -0.066]","[-0.071, -0.105, 0.094, -0.058, -0.035, -0.061]","[-0.091, -0.125, 0.078, -0.077, -0.054, -0.073]"
4,1,-7.2136,-6.4629,0.000,190,463,19,0,0.994,55,0.00,57,111.71,0,0,17.746(22.183%)(0.000m),29.074(25.654%)(0.972m),56.166(49.559%)(3.875m),87.000(76.765%)(7.179m),59.015(73.769%)(4.180m),17.746(44.366%)(0.830m),40.000(100.000%)(3.214m),3347.502,8329.281,56.4,0.0000,"[-0.081, -0.116, 0.092, -0.071, -0.047, -0.066]","[-0.066, -0.103, 0.095, -0.058, -0.036, -0.063]","[-0.103, -0.130, 0.089, -0.096, -0.057, -0.067]"
5,1,-5.0703,-6.1844,0.000,112,275,15,0,0.992,45,0.00,69,51.62,0,0,69.447(86.809%)(5.298m),113.000(99.706%)(9.964m),28.931(25.528%)(0.957m),17.050(15.044%)(0.000m),11.208(14.010%)(0.000m),40.000(100.000%)(3.214m),12.516(31.289%)(0.270m),5393.139,13443.778,56.8,0.0000,"[-0.078, -0.114, 0.090, -0.067, -0.045, -0.067]","[-0.070, -0.104, 0.096, -0.057, -0.037, -0.064]","[-0.088, -0.123, 0.077, -0.080, -0.055, -0.074]"
6,1,-6.9129,-6.3058,0.000,185,468,19,0,0.990,60,0.00,88,121.05,0,0,75.000(93.750%)(5.893m),84.000(74.118%)(6.857m),42.848(37.807%)(2.448m),22.180(19.570%)(0.234m),13.538(16.923%)(0.000m),40.000(100.000%)(3.214m),13.538(33.846%)(0.379m),2852.192,8818.413,58.5,0.0000,"[-0.074, -0.109, 0.091, -0.063, -0.041, -0.065]","[-0.066, -0.099, 0.095, -0.057, -0.029, -0.056]","[-0.086, -0.117, 0.080, -0.075, -0.047, -0.070]"
7,1,-4.4016,-6.0338,0.000,306,750,63,0,0.988,70,0.00,119,186.44,0,0,54.000(67.500%)(3.643m),82.000(72.353%)(6.643m),92.498(81.616%)(7.768m),29.128(25.701%)(0.978m),14.302(17.877%)(0.000m),40.000(100.000%)(3.214m),11.302(28.255%)(0.139m),5323.969,12358.308,56.8,0.0000,"[-0.078, -0.111, 0.091, -0.064, -0.042, -0.063]","[-0.069, -0.099, 0.096, -0.053, -0.023, -0.050]","[-0.089, -0.119, 0.081, -0.068, -0.050, -0.068]"
8,1,-6.7218,-6.1198,0.000,85,206,20,0,0.986,40,0.00,128,39.07,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),35.657(31.462%)(1.678m),21.262(18.761%)(0.135m),14.082(17.603%)(0.000m),40.000(100.000%)(3.214m),15.920(39.800%)(0.634m),6775.218,16352.513,56.1,0.0000,"[-0.080, -0.114, 0.088, -0.067, -0.046, -0.068]","[-0.072, -0.105, 0.094, -0.059, -0.039, -0.064]","[-0.090, -0.125, 0.077, -0.080, -0.056, -0.075]"
9,1,-6.3031,-6.1402,0.000,283,705,83,0,0.984,70,0.00,157,186.67,0,0,13.270(16.588%)(0.000m),27.027(23.847%)(0.753m),41.000(36.177%)(2.250m),39.000(34.412%)(2.036m),53.000(66.250%)(3.536m),10.486(26.216%)(0.052m),40.000(100.000%)(3.214m),1683.159,5225.285,57.6,0.0000,"[-0.085, -0.119, 0.091, -0.076, -0.046, -0.066]","[-0.067, -0.105, 0.098, -0.060, -0.032, -0.059]","[-0.113, -0.131, 0.084, -0.097, -0.066, -0.072]"
10,1,-3.9514,-5.9213,0.000,217,534,27,0,0.982,60,0.00,179,103.30,0,0,14.760(18.450%)(0.000m),24.181(21.336%)(0.448m),46.714(41.219%)(2.862m),70.000(61.765%)(5.357m),67.903(84.879%)(5.132m),14.760(36.900%)(0.510m),40.000(100.000%)(3.214m),3080.235,6983.271,57.0,0.0000,"[-0.080, -0.116, 0.093, -0.072, -0.045, -0.066]","[-0.070, -0.106, 0.097, -0.060, -0.038, -0.060]","[-0.110, -0.132, 0.087, -0.100, -0.053, -0.070]"
