episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-3.3274,-3.3274,0.000,237,605,64,0,1.000,80,0.00,24,270.29,0,0,21.360(26.700%)(0.146m),43.454(38.342%)(2.513m),41.018(36.193%)(2.252m),24.174(21.330%)(0.447m),15.891(19.864%)(0.000m),15.019(37.548%)(0.538m),17.745(44.362%)(0.830m),1091.000,5063.108,59.1,0.0000,"[-0.067, -0.005, 0.177, -0.044, -0.096, 0.095]","[-0.044, 0.010, 0.191, -0.020, -0.084, 0.104]","[-0.075, -0.026, 0.155, -0.070, -0.113, 0.086]"
2,1,-5.4359,-4.3817,0.000,136,332,22,0,0.998,65,0.00,38,92.75,0,0,14.752(18.440%)(0.000m),22.111(19.509%)(0.226m),36.663(32.350%)(1.785m),102.000(90.000%)(8.786m),64.998(81.248%)(4.821m),16.885(42.213%)(0.738m),40.000(100.000%)(3.214m),4467.296,7010.164,56.4,0.0000,"[-0.066, -0.006, 0.180, -0.044, -0.090, 0.095]","[-0.053, 0.021, 0.192, -0.006, -0.065, 0.113]","[-0.076, -0.017, 0.171, -0.058, -0.100, 0.091]"
3,1,-3.1945,-3.9860,0.000,366,891,140,0,0.996,85,0.00,75,199.06,0,0,24.622(30.777%)(0.495m),43.000(37.941%)(2.464m),38.050(33.574%)(1.934m),22.947(20.247%)(0.316m),15.310(19.138%)(0.000m),17.525(43.813%)(0.806m),17.524(43.810%)(0.806m),1247.428,4848.503,56.3,0.0000,"[-0.065, -0.003, 0.179, -0.044, -0.091, 0.094]","[-0.028, 0.016, 0.188, -0.017, -0.072, 0.108]","[-0.075, -0.017, 0.164, -0.069, -0.114, 0.078]"
4,1,-6.1248,-4.5207,0.000,151,375,22,0,0.994,65,0.00,91,73.66,0,0,9.858(12.322%)(0.000m),13.988(12.342%)(0.000m),21.456(18.931%)(0.156m),53.908(47.566%)(3.633m),68.005(85.007%)(5.143m),12.475(31.186%)(0.265m),40.000(100.000%)(3.214m),2625.759,3327.660,57.5,0.0000,"[-0.067, -0.009, 0.177, -0.048, -0.094, 0.095]","[-0.061, 0.011, 0.191, -0.024, -0.085, 0.108]","[-0.072, -0.017, 0.146, -0.058, -0.100, 0.092]"
5,1,-3.0449,-4.2255,0.000,292,711,82,0,0.992,80,0.00,121,157.12,0,0,12.981(16.226%)(0.000m),27.257(24.050%)(0.778m),63.000(55.588%)(4.607m),59.000(52.059%)(4.179m),34.689(43.361%)(1.574m),9.999(24.997%)(0.000m),25.015(62.536%)(1.609m),3148.874,5830.306,56.4,0.0000,"[-0.061, -0.007, 0.174, -0.047, -0.095, 0.093]","[-0.050, 0.020, 0.191, -0.012, -0.066, 0.110]","[-0.084, -0.024, 0.161, -0.068, -0.121, 0.083]"
6,1,-4.5111,-4.2731,0.000,207,502,37,0,0.990,75,0.00,142,116.25,0,0,15.150(18.938%)(0.000m),30.856(27.226%)(1.163m),91.000(80.294%)(7.607m),81.000(71.471%)(6.536m),67.969(84.962%)(5.140m),11.972(29.931%)(0.211m),40.000(100.000%)(3.214m),3229.716,7233.935,56.1,0.0000,"[-0.070, -0.004, 0.182, -0.041, -0.090, 0.094]","[-0.063, 0.010, 0.191, -0.015, -0.078, 0.101]","[-0.078, -0.019, 0.170, -0.060, -0.101, 0.090]"
7,1,-5.2753,-4.4163,0.000,95,230,22,0,0.988,55,0.00,152,67.78,0,0,77.786(97.233%)(6.191m),112.000(98.824%)(9.857m),34.307(30.271%)(1.533m),20.689(18.255%)(0.074m),13.804(17.255%)(0.000m),40.000(100.000%)(3.214m),15.800(39.500%)(0.621m),6062.688,8257.819,56.1,0.0000,"[-0.057, -0.012, 0.171, -0.060, -0.101, 0.089]","[-0.037, 0.002, 0.176, -0.053, -0.093, 0.092]","[-0.065, -0.016, 0.163, -0.073, -0.115, 0.083]"
8,1,-4.7374,-4.4564,0.000,138,341,18,0,0.986,65,0.00,166,64.53,0,0,77.786(97.233%)(6.191m),92.000(81.177%)(7.714m),66.024(58.257%)(4.931m),27.948(24.660%)(0.852m),15.593(19.491%)(0.000m),40.000(100.000%)(3.214m),13.964(34.910%)(0.425m),4499.602,6862.360,57.2,0.0000,"[-0.057, -0.014, 0.167, -0.064, -0.108, 0.087]","[-0.038, -0.001, 0.176, -0.053, -0.093, 0.093]","[-0.066, -0.022, 0.159, -0.072, -0.121, 0.080]"
9,1,-4.8920,-4.5048,0.000,88,219,20,0,0.984,55,0.00,175,42.76,0,0,16.104(20.130%)(0.000m),24.498(21.616%)(0.482m),41.568(36.677%)(2.311m),113.333(100.000%)(10.000m),76.230(95.288%)(6.025m),17.982(44.956%)(0.855m),40.000(100.000%)(3.214m),4017.869,5141.884,57.6,0.0000,"[-0.068, -0.004, 0.182, -0.039, -0.090, 0.097]","[-0.053, 0.016, 0.192, -0.014, -0.074, 0.112]","[-0.075, -0.013, 0.170, -0.054, -0.096, 0.091]"
10,1,-3.9775,-4.4521,0.000,252,652,42,11,0.982,85,0.00,201,123.32,0,0,71.000(88.750%)(5.464m),28.000(24.706%)(0.857m),41.000(36.177%)(2.250m),22.319(19.693%)(0.248m),12.313(15.391%)(0.000m),40.000(100.000%)(3.214m),10.892(27.229%)(0.096m),317.579,687.193,59.8,0.0000,"[-0.063, -0.015, 0.170, -0.060, -0.104, 0.092]","[-0.032, -0.000, 0.179, -0.042, -0.092, 0.096]","[-0.078, -0.026, 0.154, -0.081, -0.130, 0.086]"
11,1,-5.3287,-4.5318,0.000,127,307,24,0,0.980,60,0.00,214,77.43,0,0,15.676(19.594%)(0.000m),20.948(18.484%)(0.102m),29.818(26.310%)(1.052m),58.642(51.743%)(4.140m),62.035(77.544%)(4.504m),22.608(56.521%)(1.351m),40.000(100.000%)(3.214m),6246.092,8282.325,56.0,0.0000,"[-0.065, -0.007, 0.179, -0.045, -0.090, 0.095]","[-0.060, 0.024, 0.194, -0.006, -0.066, 0.108]","[-0.071, -0.016, 0.167, -0.058, -0.099, 0.091]"
12,1,-4.4486,-4.5249,0.000,228,564,62,0,0.978,75,0.00,237,121.86,0,0,69.398(86.747%)(5.293m),68.000(60.000%)(5.143m),52.095(45.966%)(3.439m),26.966(23.794%)(0.746m),16.460(20.575%)(0.000m),40.000(100.000%)(3.214m),16.460(41.150%)(0.692m),1630.925,3115.857,57.2,0.0000,"[-0.062, -0.013, 0.173, -0.058, -0.100, 0.091]","[-0.045, -0.004, 0.180, -0.049, -0.091, 0.094]","[-0.069, -0.022, 0.157, -0.073, -0.121, 0.085]"
13,1,-4.1592,-4.4967,0.000,232,569,61,0,0.976,75,0.00,261,112.15,0,0,12.077(15.097%)(0.000m),21.647(19.100%)(0.176m),51.139(45.122%)(3.336m),66.000(58.235%)(4.929m),77.067(96.334%)(6.114m),10.816(27.040%)(0.087m),40.000(100.000%)(3.214m),3201.907,6078.292,56.8,0.0000,"[-0.070, -0.001, 0.182, -0.039, -0.091, 0.096]","[-0.060, 0.018, 0.193, -0.013, -0.068, 0.109]","[-0.075, -0.015, 0.161, -0.056, -0.109, 0.092]"
14,1,-4.7398,-4.5141,0.000,89,214,24,0,0.974,55,0.00,270,61.81,0,0,17.885(22.356%)(0.000m),29.041(25.624%)(0.969m),55.155(48.666%)(3.767m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),18.105(45.262%)(0.868m),40.000(100.000%)(3.214m),8104.427,10249.909,55.5,0.0000,"[-0.069, -0.001, 0.184, -0.035, -0.085, 0.096]","[-0.059, 0.021, 0.191, -0.005, -0.060, 0.110]","[-0.075, -0.013, 0.176, -0.054, -0.096, 0.091]"
