episode,close distance,near_miss,MSE,Reward,Avg reward,time,timeframe,steps,progress_pct,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
12,115,0,0.000,23.970,21.862,7329,442,1391,100.0,1,37.000(46.250%)(1.821m),54.000(47.647%)(3.643m),88.000(77.647%)(7.286m),48.108(42.448%)(3.012m),22.881(28.602%)(0.309m),27.000(67.500%)(1.821m),16.155(40.387%)(0.659m),654.078,6323.741,72.8,2.2713,"[2.621, 3.169, 2.945, 2.864, 3.646, 3.157]","[4.611, 4.757, 4.627, 4.981, 5.223, 4.732]","[-4.042, 1.087, 0.828, -4.106, 1.649, 1.452]"
13,109,21,0.000,18.230,21.582,7722,467,1455,100.0,1,22.103(27.628%)(0.225m),40.000(35.294%)(2.143m),55.000(48.530%)(3.750m),49.000(43.235%)(3.107m),23.525(29.407%)(0.378m),15.606(39.015%)(0.601m),16.600(41.500%)(0.707m),300.500,2926.681,72.1,2.2329,"[2.313, 2.554, 1.942, 2.460, 2.932, 1.990]","[5.108, 4.757, 4.627, 5.123, 5.280, 4.732]","[-3.491, -1.377, -4.384, -4.831, -2.331, -5.308]"
14,5,21,0.000,27.050,21.973,7448,451,1410,100.0,1,27.000(33.750%)(0.750m),40.000(35.294%)(2.143m),55.000(48.530%)(3.750m),49.392(43.581%)(3.149m),23.525(29.407%)(0.378m),24.000(60.000%)(1.500m),16.622(41.555%)(0.710m),300.500,3408.559,72.4,2.1582,"[2.597, 3.093, 2.784, 2.893, 3.560, 2.932]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-3.491, 0.491, -1.072, -3.717, 0.621, -1.413]"
15,5,21,0.000,27.050,22.311,7456,451,1410,100.0,1,27.000(33.750%)(0.750m),40.000(35.294%)(2.143m),55.000(48.530%)(3.750m),49.392(43.581%)(3.149m),23.525(29.407%)(0.378m),24.000(60.000%)(1.500m),16.622(41.555%)(0.710m),300.500,3408.559,72.4,2.1433,"[2.620, 3.079, 2.826, 2.909, 3.569, 2.962]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-3.491, 0.491, -1.072, -3.717, 0.621, -1.413]"
16,5,51,0.000,22.070,22.296,7549,455,1423,100.0,1,27.000(33.750%)(0.750m),40.000(35.294%)(2.143m),55.000(48.530%)(3.750m),49.000(43.235%)(3.107m),23.525(29.407%)(0.378m),24.000(60.000%)(1.500m),16.600(41.500%)(0.707m),300.500,2918.688,72.4,2.1424,"[2.697, 3.061, 2.871, 2.777, 3.496, 3.051]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-3.491, -0.758, -1.072, -4.739, -0.354, -1.413]"
17,24,35,0.000,5.100,21.285,5421,327,1006,90.0,0,27.000(33.750%)(0.750m),21.000(18.529%)(0.107m),20.000(17.647%)(0.000m),40.000(35.294%)(2.143m),23.525(29.407%)(0.378m),24.000(60.000%)(1.500m),16.600(41.500%)(0.707m),0.000,2740.800,71.2,2.1544,"[1.964, 2.422, 2.364, 1.940, 2.935, 2.346]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-4.375, -3.097, -3.319, -4.847, -2.462, -3.971]"
18,5,21,0.000,27.050,21.605,7461,451,1410,100.0,1,27.000(33.750%)(0.750m),40.000(35.294%)(2.143m),55.000(48.530%)(3.750m),49.392(43.581%)(3.149m),23.525(29.407%)(0.378m),24.000(60.000%)(1.500m),16.622(41.555%)(0.710m),300.500,3408.559,72.4,2.2630,"[2.597, 3.093, 2.784, 2.893, 3.560, 2.932]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-3.491, 0.491, -1.072, -3.717, 0.621, -1.413]"
19,0,0,0.000,31.340,22.117,7233,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,72.8,2.0541,"[3.462, 3.743, 3.329, 3.634, 4.171, 3.583]","[4.611, 4.757, 4.627, 4.981, 5.223, 4.732]","[1.931, 1.818, 1.885, 2.250, 2.097, 2.109]"
20,85,31,0.000,24.450,22.234,7288,441,1388,100.0,1,24.000(30.000%)(0.429m),47.000(41.471%)(2.893m),88.000(77.647%)(7.286m),47.819(42.194%)(2.981m),22.737(28.421%)(0.293m),21.000(52.500%)(1.179m),16.050(40.124%)(0.648m),475.255,6185.528,72.8,2.1791,"[2.715, 3.046, 2.769, 2.938, 3.441, 2.980]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-3.818, 1.678, 1.150, -4.077, 2.097, 1.296]"
21,0,0,0.000,31.340,22.668,7299,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),113.333(100.000%)(10.000m),76.230(95.288%)(6.025m),26.000(65.000%)(1.714m),40.000(100.000%)(3.214m),None,None,72.8,2.0350,"[3.293, 3.579, 3.124, 3.469, 3.933, 3.387]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[2.087, 1.818, 1.885, 2.250, 2.097, 2.109]"
22,0,0,0.000,30.600,23.028,7272,440,1385,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),66.000(58.235%)(4.929m),33.000(41.250%)(1.393m),26.000(65.000%)(1.714m),23.000(57.500%)(1.393m),None,None,72.8,2.0344,"[3.362, 3.655, 3.302, 3.525, 4.060, 3.542]","[4.611, 4.757, 4.627, 4.857, 5.223, 4.732]","[-0.202, 1.323, 1.632, -0.834, 1.635, 1.947]"
23,0,22,0.000,26.980,23.200,7262,441,1388,100.0,1,24.227(30.283%)(0.453m),50.790(44.815%)(3.299m),86.000(75.883%)(7.071m),46.000(40.588%)(2.786m),27.000(33.750%)(0.750m),17.131(42.828%)(0.764m),24.000(60.000%)(1.500m),426.617,6146.567,72.8,2.1999,"[2.860, 3.285, 2.709, 3.003, 3.717, 2.918]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-2.718, 0.731, -4.457, -4.423, 0.700, -3.726]"
24,115,0,0.000,23.970,23.232,7296,442,1391,100.0,1,37.000(46.250%)(1.821m),54.000(47.647%)(3.643m),88.000(77.647%)(7.286m),48.108(42.448%)(3.012m),22.881(28.602%)(0.309m),26.000(65.000%)(1.714m),16.155(40.387%)(0.659m),654.078,6323.741,72.8,2.0664,"[2.468, 3.047, 2.784, 2.704, 3.443, 3.008]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-4.042, 1.087, 0.828, -4.106, 1.649, 1.452]"
25,0,0,0.000,30.600,23.527,7273,440,1385,100.0,1,42.000(52.500%)(2.357m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),66.000(58.235%)(4.929m),33.000(41.250%)(1.393m),26.000(65.000%)(1.714m),23.000(57.500%)(1.393m),None,None,72.8,2.1673,"[3.525, 3.797, 3.479, 3.687, 4.281, 3.708]","[4.611, 4.757, 4.627, 4.981, 5.223, 4.732]","[-0.202, 1.323, 1.632, -0.834, 1.635, 1.947]"
26,85,31,0.000,23.650,23.532,7324,441,1388,100.0,1,24.000(30.000%)(0.429m),47.000(41.471%)(2.893m),88.000(77.647%)(7.286m),47.819(42.194%)(2.981m),22.737(28.421%)(0.293m),21.000(52.500%)(1.179m),16.050(40.124%)(0.648m),479.055,6187.331,72.8,2.1991,"[2.778, 3.101, 2.920, 2.992, 3.551, 3.106]","[4.611, 4.757, 4.627, 4.857, 5.223, 4.732]","[-3.818, 1.323, 1.150, -4.077, 1.635, 1.296]"
27,0,0,0.000,30.600,23.793,7291,440,1385,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),66.000(58.235%)(4.929m),33.000(41.250%)(1.393m),26.000(65.000%)(1.714m),23.000(57.500%)(1.393m),None,None,72.8,2.0606,"[3.355, 3.632, 3.273, 3.522, 4.042, 3.512]","[4.611, 4.757, 4.627, 4.857, 5.223, 4.732]","[-0.202, 1.323, 1.632, -0.834, 1.635, 1.947]"
28,0,0,0.000,29.800,24.008,7253,440,1385,100.0,1,42.000(52.500%)(2.357m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),66.000(58.235%)(4.929m),33.000(41.250%)(1.393m),26.000(65.000%)(1.714m),23.000(57.500%)(1.393m),None,None,72.8,2.1074,"[3.419, 3.706, 3.451, 3.569, 4.166, 3.667]","[4.611, 4.757, 4.627, 4.857, 5.223, 4.732]","[-0.202, 1.323, 1.632, -0.834, 1.635, 1.947]"
29,0,22,0.000,26.180,24.083,7303,441,1388,100.0,1,24.227(30.283%)(0.453m),50.790(44.815%)(3.299m),86.000(75.883%)(7.071m),46.000(40.588%)(2.786m),27.000(33.750%)(0.750m),17.131(42.828%)(0.764m),23.000(57.500%)(1.393m),430.417,6148.383,72.8,2.0763,"[2.926, 3.340, 2.858, 3.061, 3.828, 3.043]","[4.611, 4.757, 4.627, 4.857, 5.223, 4.732]","[-2.718, 0.731, -4.457, -4.423, 0.700, -3.726]"
30,94,16,0.000,23.360,24.059,7361,443,1393,100.0,1,28.000(35.000%)(0.857m),47.000(41.471%)(2.893m),88.000(77.647%)(7.286m),48.690(42.962%)(3.074m),23.173(28.967%)(0.340m),25.000(62.500%)(1.607m),16.367(40.917%)(0.682m),556.741,6189.943,72.8,2.1753,"[2.847, 3.166, 2.877, 3.067, 3.620, 3.068]","[4.611, 4.757, 4.627, 4.857, 5.223, 4.732]","[-3.733, 0.958, -3.154, -3.928, 1.293, -3.042]"
31,101,4,0.000,25.370,24.101,8494,513,1546,100.0,1,13.986(17.483%)(0.000m),29.807(26.300%)(1.051m),46.000(40.588%)(2.786m),38.000(33.530%)(1.929m),33.000(41.250%)(1.393m),9.810(24.526%)(0.000m),26.000(65.000%)(1.714m),486.423,3227.374,69.7,2.1439,"[2.311, 2.383, 1.833, 2.423, 2.792, 1.806]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-5.604, -5.547, -7.376, -6.132, -5.379, -7.063]"
32,101,4,0.000,25.370,24.141,8462,513,1546,100.0,1,13.986(17.483%)(0.000m),29.807(26.300%)(1.051m),46.000(40.588%)(2.786m),38.000(33.530%)(1.929m),33.000(41.250%)(1.393m),9.810(24.526%)(0.000m),26.000(65.000%)(1.714m),486.423,3227.374,69.7,2.1787,"[2.460, 2.527, 1.958, 2.525, 2.931, 2.004]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-5.604, -5.547, -7.376, -6.132, -5.379, -7.063]"
33,105,5,0.000,18.240,23.962,8614,523,1575,100.0,1,13.986(17.483%)(0.000m),29.807(26.300%)(1.051m),46.000(40.588%)(2.786m),38.000(33.530%)(1.929m),23.344(29.180%)(0.358m),9.810(24.526%)(0.000m),16.490(41.225%)(0.695m),373.026,3963.412,69.7,2.1495,"[2.141, 2.173, 1.806, 2.222, 2.527, 1.849]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-5.604, -5.547, -7.376, -6.132, -5.379, -7.063]"
34,141,83,0.000,13.820,23.664,8635,523,1575,100.0,1,13.986(17.483%)(0.000m),29.807(26.300%)(1.051m),46.000(40.588%)(2.786m),33.000(29.118%)(1.393m),15.000(18.750%)(0.000m),9.810(24.526%)(0.000m),11.000(27.500%)(0.107m),349.516,3953.745,69.7,2.1941,"[2.015, 2.052, 1.916, 2.155, 2.405, 1.882]","[4.611, 4.757, 4.830, 4.803, 5.223, 4.732]","[-6.933, -5.547, -7.376, -6.132, -5.379, -7.063]"
35,101,4,0.000,25.370,23.712,8514,513,1546,100.0,1,13.986(17.483%)(0.000m),29.807(26.300%)(1.051m),46.000(40.588%)(2.786m),38.000(33.530%)(1.929m),33.000(41.250%)(1.393m),9.810(24.526%)(0.000m),26.000(65.000%)(1.714m),486.423,3227.374,69.7,2.0049,"[2.460, 2.527, 1.958, 2.525, 2.931, 2.004]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-5.604, -5.547, -7.376, -6.132, -5.379, -7.063]"
36,135,22,0.000,3.010,23.137,6644,401,1167,90.0,0,13.986(17.483%)(0.000m),29.807(26.300%)(1.051m),20.000(17.647%)(0.000m),22.000(19.412%)(0.214m),33.000(41.250%)(1.393m),9.810(24.526%)(0.000m),26.000(65.000%)(1.714m),0.000,3721.419,67.4,2.0484,"[1.758, 1.639, 1.240, 1.790, 1.824, 1.073]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-11.503, -5.547, -7.376, -11.498, -6.490, -7.063]"
37,40,11,0.000,-1.040,22.484,2698,163,463,60.0,0,28.000(35.000%)(0.857m),57.000(50.294%)(3.964m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),63.964(79.955%)(4.710m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,3140.685,65.8,2.0091,"[2.386, 2.609, 2.458, 2.399, 2.562, 2.012]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-7.414, -2.344, -2.948, -7.508, -5.464, -4.506]"
38,40,11,0.000,-1.040,21.865,2690,163,463,60.0,0,28.000(35.000%)(0.857m),57.000(50.294%)(3.964m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),63.964(79.955%)(4.710m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,3140.685,65.8,2.4102,"[2.386, 2.609, 2.458, 2.399, 2.562, 2.012]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-7.414, -2.344, -2.948, -7.508, -5.464, -4.506]"
39,40,11,0.000,-1.040,21.277,2693,163,463,60.0,0,28.000(35.000%)(0.857m),57.000(50.294%)(3.964m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),63.964(79.955%)(4.710m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,3140.685,65.8,2.2093,"[2.386, 2.609, 2.458, 2.399, 2.562, 2.012]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-7.414, -2.344, -2.948, -7.508, -5.464, -4.506]"
40,40,11,0.000,-1.040,20.719,2688,163,463,60.0,0,28.000(35.000%)(0.857m),57.000(50.294%)(3.964m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),63.964(79.955%)(4.710m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,3140.685,65.8,2.0780,"[2.386, 2.609, 2.458, 2.399, 2.562, 2.012]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-7.414, -2.344, -2.948, -7.508, -5.464, -4.506]"
41,40,11,0.000,-1.040,20.189,2682,163,463,60.0,0,28.000(35.000%)(0.857m),57.000(50.294%)(3.964m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),63.964(79.955%)(4.710m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,3140.685,65.8,2.2208,"[2.386, 2.609, 2.458, 2.399, 2.562, 2.012]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-7.414, -2.344, -2.948, -7.508, -5.464, -4.506]"
42,40,11,0.000,-1.040,19.683,2692,163,463,60.0,0,28.000(35.000%)(0.857m),57.000(50.294%)(3.964m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),63.964(79.955%)(4.710m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,3140.685,65.8,2.1067,"[2.386, 2.609, 2.458, 2.399, 2.562, 2.012]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-7.414, -2.344, -2.948, -7.508, -5.464, -4.506]"
