episode,close distance,near_miss,MSE,Reward,Avg reward,time,timeframe,steps,progress_pct,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
11,0,33,0.000,26.420,20.868,7316,443,1393,100.0,1,24.085(30.106%)(0.438m),50.508(44.566%)(3.269m),89.000(78.530%)(7.393m),47.000(41.471%)(2.893m),24.000(30.000%)(0.429m),17.028(42.571%)(0.753m),21.000(52.500%)(1.179m),471.087,6196.458,72.8,1.7558,"[3.138, 3.656, 3.050, 3.280, 4.043, 3.330]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-0.046, 1.957, -3.604, -0.862, 2.668, -3.543]"
12,13,16,0.000,25.320,21.239,7629,463,1438,100.0,1,28.000(35.000%)(0.857m),40.000(35.294%)(2.143m),49.000(43.235%)(3.107m),49.818(43.957%)(3.195m),23.798(29.747%)(0.407m),27.000(67.500%)(1.821m),16.836(42.090%)(0.732m),396.067,5889.499,71.9,1.7728,"[2.679, 3.309, 2.886, 2.729, 3.600, 3.066]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-3.310, -1.256, -5.342, -2.891, -1.777, -4.353]"
13,255,18,0.000,16.750,20.894,7735,468,1447,100.0,1,23.087(28.858%)(0.331m),48.517(42.809%)(3.055m),55.000(48.530%)(3.750m),35.000(30.882%)(1.607m),26.000(32.500%)(0.643m),16.304(40.759%)(0.675m),24.000(60.000%)(1.500m),193.259,3298.620,71.6,1.6993,"[2.864, 3.221, 2.336, 3.075, 3.588, 2.545]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-5.080, -4.566, -3.835, -6.813, -6.271, -4.715]"
14,255,18,0.000,16.750,20.598,7755,468,1447,100.0,1,23.087(28.858%)(0.331m),48.517(42.809%)(3.055m),55.000(48.530%)(3.750m),35.000(30.882%)(1.607m),26.000(32.500%)(0.643m),16.304(40.759%)(0.675m),24.000(60.000%)(1.500m),193.259,3298.620,71.6,1.7386,"[2.973, 3.397, 2.400, 3.140, 3.748, 2.634]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-5.080, -4.566, -3.835, -6.813, -6.271, -4.715]"
15,157,30,0.000,13.950,20.155,7875,475,1470,100.0,1,23.087(28.858%)(0.331m),38.000(33.530%)(1.929m),55.000(48.530%)(3.750m),34.887(30.782%)(1.595m),16.183(20.229%)(0.000m),16.283(40.707%)(0.673m),11.343(28.357%)(0.144m),193.259,2904.745,71.6,1.7286,"[1.630, 2.853, 2.123, 1.503, 3.138, 2.300]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-5.080, -4.566, -3.835, -6.813, -6.271, -4.715]"
16,107,96,0.000,13.890,19.763,7788,472,1460,100.0,1,23.087(28.858%)(0.331m),40.000(35.294%)(2.143m),55.000(48.530%)(3.750m),35.000(30.882%)(1.607m),17.000(21.250%)(0.000m),16.283(40.707%)(0.673m),12.000(30.000%)(0.214m),193.259,2920.814,71.6,1.8432,"[2.824, 3.197, 2.477, 2.947, 3.531, 2.578]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-5.080, -4.566, -3.835, -6.813, -6.271, -4.715]"
17,255,18,0.000,16.750,19.586,7741,468,1447,100.0,1,23.087(28.858%)(0.331m),48.517(42.809%)(3.055m),55.000(48.530%)(3.750m),35.000(30.882%)(1.607m),26.000(32.500%)(0.643m),16.304(40.759%)(0.675m),24.000(60.000%)(1.500m),193.259,3298.620,71.6,1.8566,"[2.973, 3.397, 2.400, 3.140, 3.748, 2.634]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-5.080, -4.566, -3.835, -6.813, -6.271, -4.715]"
18,104,34,0.000,-0.390,18.476,5719,346,1047,90.0,0,23.087(28.858%)(0.331m),35.000(30.882%)(1.607m),20.000(17.647%)(0.000m),22.000(19.412%)(0.214m),26.000(32.500%)(0.643m),16.283(40.707%)(0.673m),24.000(60.000%)(1.500m),0.000,2784.453,70.0,1.6762,"[2.050, 2.384, 1.628, 1.859, 2.569, 1.576]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-8.934, -6.796, -6.284, -13.034, -7.988, -7.051]"
19,0,0,0.000,30.760,19.123,7312,441,1386,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),66.000(58.235%)(4.929m),33.000(41.250%)(1.393m),26.000(65.000%)(1.714m),23.000(57.500%)(1.393m),None,None,72.7,1.7678,"[3.377, 4.027, 3.693, 3.429, 4.385, 3.946]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[0.494, 1.957, 1.436, -0.879, 2.587, 1.992]"
20,106,12,0.000,24.440,19.388,7310,442,1391,100.0,1,28.000(35.000%)(0.857m),43.000(37.941%)(2.464m),75.000(66.177%)(5.893m),47.303(41.738%)(2.925m),22.831(28.539%)(0.303m),26.000(65.000%)(1.714m),16.118(40.296%)(0.656m),377.586,6107.389,72.8,1.8257,"[2.562, 3.434, 3.195, 2.745, 3.761, 3.343]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-4.122, 1.769, 0.767, -3.906, 2.229, -0.038]"
21,0,0,0.000,31.340,19.958,7261,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),113.333(100.000%)(10.000m),76.230(95.288%)(6.025m),26.000(65.000%)(1.714m),40.000(100.000%)(3.214m),None,None,72.8,1.7659,"[3.324, 4.004, 3.628, 3.420, 4.336, 3.844]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[0.494, 2.035, 1.436, 0.548, 2.587, 1.992]"
22,0,0,0.000,31.340,20.475,7256,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,72.8,1.7429,"[3.543, 4.085, 3.658, 3.653, 4.447, 3.901]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[0.494, 2.035, 1.436, 0.548, 2.587, 1.846]"
23,0,37,0.000,27.000,20.759,7309,441,1388,100.0,1,24.203(30.254%)(0.450m),50.743(44.773%)(3.294m),86.000(75.883%)(7.071m),46.000(40.588%)(2.786m),23.000(28.750%)(0.321m),17.114(42.785%)(0.762m),20.000(50.000%)(1.071m),426.617,6146.567,72.8,1.9993,"[3.077, 3.661, 3.069, 3.241, 4.024, 3.324]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-0.269, 2.035, -3.603, -0.749, 2.575, -3.539]"
24,106,1,0.000,24.260,20.905,7345,443,1394,100.0,1,32.000(40.000%)(1.286m),46.000(40.588%)(2.786m),60.000(52.941%)(4.286m),48.364(42.674%)(3.039m),23.010(28.762%)(0.322m),26.000(65.000%)(1.714m),16.248(40.620%)(0.669m),424.719,6127.587,72.8,1.8415,"[2.484, 3.420, 3.075, 2.684, 3.742, 3.195]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-3.936, 0.603, -2.674, -3.652, 1.421, -3.138]"
25,0,0,0.000,30.760,21.299,7288,441,1386,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),66.000(58.235%)(4.929m),33.000(41.250%)(1.393m),26.000(65.000%)(1.714m),23.000(57.500%)(1.393m),None,None,72.7,1.6109,"[3.582, 4.092, 3.702, 3.649, 4.483, 3.989]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[0.734, 1.957, 1.448, -0.879, 2.735, 1.846]"
26,106,12,0.000,24.440,21.420,7279,442,1391,100.0,1,28.000(35.000%)(0.857m),43.000(37.941%)(2.464m),75.000(66.177%)(5.893m),47.303(41.738%)(2.925m),22.831(28.539%)(0.303m),26.000(65.000%)(1.714m),16.118(40.296%)(0.656m),377.586,6107.389,72.8,1.9629,"[2.768, 3.499, 3.204, 2.964, 3.859, 3.385]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-4.122, 1.769, 0.767, -3.906, 2.229, -0.038]"
27,0,0,0.000,31.340,21.787,7231,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,72.8,1.7771,"[3.531, 4.069, 3.637, 3.641, 4.435, 3.886]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[0.494, 2.035, 1.436, 0.548, 2.587, 1.846]"
28,0,0,0.000,31.340,22.128,7303,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,72.8,1.8512,"[3.750, 4.150, 3.667, 3.874, 4.546, 3.943]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[2.371, 2.120, 1.448, 2.662, 2.843, 1.846]"
29,0,37,0.000,27.000,22.296,7295,441,1388,100.0,1,24.203(30.254%)(0.450m),50.743(44.773%)(3.294m),86.000(75.883%)(7.071m),46.000(40.588%)(2.786m),23.000(28.750%)(0.321m),17.114(42.785%)(0.762m),20.000(50.000%)(1.071m),426.617,6146.567,72.8,1.6635,"[3.283, 3.726, 3.078, 3.461, 4.122, 3.366]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-0.269, 2.120, -3.603, -0.749, 2.575, -3.539]"
30,106,1,0.000,24.260,22.362,7322,443,1394,100.0,1,32.000(40.000%)(1.286m),46.000(40.588%)(2.786m),60.000(52.941%)(4.286m),48.364(42.674%)(3.039m),23.010(28.762%)(0.322m),26.000(65.000%)(1.714m),16.248(40.620%)(0.669m),424.719,6127.587,72.8,1.7332,"[2.689, 3.485, 3.084, 2.903, 3.839, 3.237]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-3.936, 0.603, -2.674, -3.652, 1.421, -3.138]"
31,5,45,0.000,25.850,22.474,7419,449,1406,100.0,1,25.155(31.444%)(0.552m),52.642(46.449%)(3.497m),55.000(48.530%)(3.750m),38.000(33.530%)(1.929m),21.000(26.250%)(0.107m),17.805(44.513%)(0.836m),19.000(47.500%)(0.964m),246.084,3322.038,72.5,1.8231,"[2.711, 3.337, 2.725, 2.901, 3.757, 3.041]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-2.416, 0.193, -3.010, -4.919, -0.250, -2.955]"
32,5,45,0.000,25.850,22.580,7434,449,1406,100.0,1,25.155(31.444%)(0.552m),52.642(46.449%)(3.497m),55.000(48.530%)(3.750m),38.000(33.530%)(1.929m),21.000(26.250%)(0.107m),17.805(44.513%)(0.836m),19.000(47.500%)(0.964m),246.084,3322.038,72.5,1.7768,"[2.847, 3.491, 2.862, 2.993, 3.898, 3.186]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-2.416, 0.193, -3.010, -4.919, -0.250, -2.955]"
33,87,54,0.000,15.290,22.359,7669,463,1443,100.0,1,25.155(31.444%)(0.552m),41.000(36.177%)(2.250m),55.000(48.530%)(3.750m),32.088(28.313%)(1.295m),14.805(18.506%)(0.000m),17.779(44.448%)(0.834m),10.361(25.903%)(0.039m),246.084,2818.724,72.1,1.7462,"[2.169, 2.787, 2.589, 2.091, 3.075, 2.805]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-4.025, -4.515, -3.010, -4.919, -5.457, -2.955]"
34,8,105,0.000,19.480,22.274,7475,452,1415,100.0,1,25.155(31.444%)(0.552m),42.000(37.059%)(2.357m),55.000(48.530%)(3.750m),38.000(33.530%)(1.929m),21.000(26.250%)(0.107m),17.779(44.448%)(0.834m),16.000(40.000%)(0.643m),246.084,2834.867,72.5,1.7994,"[3.069, 3.453, 2.920, 3.171, 3.820, 3.088]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-2.416, 0.193, -3.010, -4.919, -0.250, -2.955]"
35,5,45,0.000,25.850,22.376,7409,449,1406,100.0,1,25.155(31.444%)(0.552m),52.642(46.449%)(3.497m),55.000(48.530%)(3.750m),38.000(33.530%)(1.929m),21.000(26.250%)(0.107m),17.805(44.513%)(0.836m),19.000(47.500%)(0.964m),246.084,3322.038,72.5,1.7409,"[2.847, 3.491, 2.862, 2.993, 3.898, 3.186]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-2.416, 0.193, -3.010, -4.919, -0.250, -2.955]"
36,30,62,0.000,3.710,21.858,5393,327,1005,90.0,0,25.000(31.250%)(0.536m),33.000(29.118%)(1.393m),20.000(17.647%)(0.000m),22.000(19.412%)(0.214m),21.000(26.250%)(0.107m),17.779(44.448%)(0.834m),19.000(47.500%)(0.964m),0.000,2665.290,71.2,1.8385,"[1.914, 2.436, 2.050, 1.654, 2.700, 2.070]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-8.870, -6.928, -7.141, -14.460, -7.754, -6.867]"
37,47,16,0.000,0.110,21.270,2675,162,461,60.0,0,45.000(56.250%)(2.679m),21.000(18.529%)(0.107m),20.000(17.647%)(0.000m),113.333(100.000%)(10.000m),63.410(79.263%)(4.651m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2995.025,65.8,1.3797,"[1.625, 2.088, 1.250, 0.886, 1.728, 1.511]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-5.582, -3.655, -7.131, -9.229, -7.040, -5.257]"
38,47,16,0.000,0.110,20.713,2676,162,461,60.0,0,45.000(56.250%)(2.679m),21.000(18.529%)(0.107m),20.000(17.647%)(0.000m),113.333(100.000%)(10.000m),63.410(79.263%)(4.651m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2995.025,65.8,1.8383,"[1.625, 2.088, 1.250, 0.886, 1.728, 1.511]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-5.582, -3.655, -7.131, -9.229, -7.040, -5.257]"
39,47,16,0.000,0.110,20.185,2676,162,461,60.0,0,45.000(56.250%)(2.679m),21.000(18.529%)(0.107m),20.000(17.647%)(0.000m),113.333(100.000%)(10.000m),63.410(79.263%)(4.651m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2995.025,65.8,1.7453,"[1.625, 2.088, 1.250, 0.886, 1.728, 1.511]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-5.582, -3.655, -7.131, -9.229, -7.040, -5.257]"
40,47,16,0.000,0.110,19.683,2692,162,461,60.0,0,45.000(56.250%)(2.679m),21.000(18.529%)(0.107m),20.000(17.647%)(0.000m),113.333(100.000%)(10.000m),63.410(79.263%)(4.651m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2995.025,65.8,1.7877,"[1.625, 2.088, 1.250, 0.886, 1.728, 1.511]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-5.582, -3.655, -7.131, -9.229, -7.040, -5.257]"
41,47,16,0.000,0.110,19.206,2674,162,461,60.0,0,45.000(56.250%)(2.679m),21.000(18.529%)(0.107m),20.000(17.647%)(0.000m),113.333(100.000%)(10.000m),63.410(79.263%)(4.651m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2995.025,65.8,1.8964,"[1.625, 2.088, 1.250, 0.886, 1.728, 1.511]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-5.582, -3.655, -7.131, -9.229, -7.040, -5.257]"
42,47,16,0.000,0.110,18.751,2669,162,461,60.0,0,45.000(56.250%)(2.679m),21.000(18.529%)(0.107m),20.000(17.647%)(0.000m),113.333(100.000%)(10.000m),63.410(79.263%)(4.651m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2995.025,65.8,1.8044,"[1.625, 2.088, 1.250, 0.886, 1.728, 1.511]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-5.582, -3.655, -7.131, -9.229, -7.040, -5.257]"
