episode,close distance,near_miss,MSE,Reward,Avg reward,time,timeframe,steps,progress_pct,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
11,0,37,0.000,26.540,21.507,7299,442,1389,100.0,1,24.401(30.501%)(0.472m),51.137(45.121%)(3.336m),99.000(87.353%)(8.464m),41.000(36.177%)(2.250m),23.000(28.750%)(0.321m),17.257(43.144%)(0.778m),21.000(52.500%)(1.179m),447.266,6166.405,72.7,1.8628,"[2.998, 3.648, 3.032, 3.207, 4.021, 3.242]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-0.249, 1.844, -3.879, -1.267, 2.368, -3.294]"
12,23,12,0.000,8.900,20.457,5267,318,982,90.0,0,30.000(37.500%)(1.071m),27.000(23.824%)(0.750m),39.000(34.412%)(2.036m),22.000(19.412%)(0.214m),23.000(28.750%)(0.321m),40.000(100.000%)(3.214m),26.000(65.000%)(1.714m),0.000,5733.498,71.5,1.8488,"[2.517, 3.319, 2.932, 2.660, 3.482, 3.055]","[4.686, 5.920, 4.758, 4.913, 5.362, 4.875]","[-9.118, -2.864, -2.563, -8.855, -5.868, -3.654]"
13,5,25,0.000,15.310,20.061,7397,447,1401,100.0,1,25.911(32.388%)(0.633m),54.097(47.733%)(3.653m),54.000(47.647%)(3.643m),37.000(32.647%)(1.821m),24.000(30.000%)(0.429m),18.358(45.894%)(0.895m),24.000(60.000%)(1.500m),201.719,3272.891,72.5,1.8040,"[2.528, 3.144, 2.490, 2.908, 3.414, 2.645]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-1.352, 1.040, -2.146, -0.977, 0.800, -2.368]"
14,5,25,0.000,15.310,19.721,7376,447,1401,100.0,1,25.911(32.388%)(0.633m),54.097(47.733%)(3.653m),54.000(47.647%)(3.643m),37.000(32.647%)(1.821m),24.000(30.000%)(0.429m),18.358(45.894%)(0.895m),24.000(60.000%)(1.500m),201.719,3272.891,72.5,1.8234,"[2.599, 3.223, 2.642, 2.919, 3.530, 2.804]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-1.352, 1.040, -2.146, -0.977, 0.800, -2.368]"
15,86,34,0.000,13.580,19.312,7546,456,1428,100.0,1,25.911(32.388%)(0.633m),41.000(36.177%)(2.250m),54.000(47.647%)(3.643m),37.000(32.647%)(1.821m),18.107(22.634%)(0.000m),18.330(45.826%)(0.893m),12.717(31.792%)(0.291m),201.719,2892.393,72.5,1.7132,"[1.861, 2.547, 2.336, 2.159, 2.854, 2.525]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-4.837, -4.402, -2.146, -4.286, -4.176, -2.368]"
16,17,91,0.000,14.230,18.994,7492,452,1417,100.0,1,25.911(32.388%)(0.633m),41.000(36.177%)(2.250m),54.000(47.647%)(3.643m),37.000(32.647%)(1.821m),22.000(27.500%)(0.214m),18.330(45.826%)(0.893m),16.000(40.000%)(0.643m),201.719,2892.393,72.6,1.8570,"[2.490, 3.058, 2.557, 2.783, 3.329, 2.721]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-3.495, 0.368, -2.146, -4.526, -0.150, -2.368]"
17,5,25,0.000,15.310,18.778,7392,447,1401,100.0,1,25.911(32.388%)(0.633m),54.097(47.733%)(3.653m),54.000(47.647%)(3.643m),37.000(32.647%)(1.821m),24.000(30.000%)(0.429m),18.358(45.894%)(0.895m),24.000(60.000%)(1.500m),201.719,3272.891,72.5,1.6694,"[2.599, 3.223, 2.642, 2.919, 3.530, 2.804]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-1.352, 1.040, -2.146, -0.977, 0.800, -2.368]"
18,91,33,0.000,10.880,18.339,8060,486,1500,100.0,1,25.911(32.388%)(0.633m),40.000(35.294%)(2.143m),48.000(42.353%)(3.000m),37.000(32.647%)(1.821m),18.559(23.198%)(0.000m),18.330(45.826%)(0.893m),13.067(32.667%)(0.329m),201.719,2808.524,71.4,1.6857,"[1.901, 2.265, 2.330, 2.079, 2.486, 2.522]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-6.365, -8.276, -6.871, -6.381, -12.296, -7.305]"
19,0,0,0.000,31.340,19.023,7259,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,72.8,1.8998,"[3.406, 3.930, 3.465, 3.590, 4.342, 3.636]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[2.220, 2.744, 1.845, 2.438, 2.865, 1.793]"
20,0,37,0.000,26.540,19.399,7298,442,1389,100.0,1,24.401(30.501%)(0.472m),51.137(45.121%)(3.336m),99.000(87.353%)(8.464m),41.000(36.177%)(2.250m),23.000(28.750%)(0.321m),17.257(43.144%)(0.778m),21.000(52.500%)(1.179m),447.266,6166.405,72.7,1.8130,"[2.957, 3.451, 2.853, 3.168, 3.821, 3.001]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-0.249, 1.844, -3.879, -1.267, 2.405, -3.294]"
21,0,0,0.000,31.340,19.968,7239,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),113.333(100.000%)(10.000m),76.230(95.288%)(6.025m),26.000(65.000%)(1.714m),40.000(100.000%)(3.214m),None,None,72.8,1.9102,"[3.360, 3.746, 3.286, 3.514, 4.149, 3.407]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[2.460, 2.744, 1.845, 2.826, 3.063, 1.793]"
22,0,0,0.000,31.340,20.485,7290,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,72.8,1.8921,"[3.384, 3.832, 3.411, 3.571, 4.275, 3.516]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[2.415, 2.744, 1.845, 2.764, 3.063, 1.793]"
23,0,37,0.000,26.540,20.748,7327,442,1389,100.0,1,24.401(30.501%)(0.472m),51.137(45.121%)(3.336m),99.000(87.353%)(8.464m),41.000(36.177%)(2.250m),23.000(28.750%)(0.321m),17.257(43.144%)(0.778m),21.000(52.500%)(1.179m),447.266,6166.405,72.7,1.8244,"[2.940, 3.457, 2.852, 3.129, 3.823, 3.009]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-0.249, 1.844, -3.879, -1.267, 2.368, -3.294]"
24,23,12,0.000,8.900,20.254,5269,318,982,90.0,0,30.000(37.500%)(1.071m),27.000(23.824%)(0.750m),39.000(34.412%)(2.036m),22.000(19.412%)(0.214m),23.000(28.750%)(0.321m),26.000(65.000%)(1.714m),40.000(100.000%)(3.214m),0.000,5733.498,71.5,1.8411,"[2.436, 3.053, 2.682, 2.552, 3.207, 2.731]","[4.686, 5.920, 4.758, 4.913, 5.362, 4.875]","[-9.118, -2.864, -2.563, -8.855, -5.868, -3.654]"
25,0,0,0.000,31.340,20.698,7264,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,72.8,1.8490,"[3.426, 4.019, 3.587, 3.640, 4.472, 3.742]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[2.220, 2.752, 2.096, 2.438, 2.865, 2.637]"
26,0,37,0.000,26.540,20.922,7302,442,1389,100.0,1,24.401(30.501%)(0.472m),51.137(45.121%)(3.336m),99.000(87.353%)(8.464m),41.000(36.177%)(2.250m),23.000(28.750%)(0.321m),17.257(43.144%)(0.778m),21.000(52.500%)(1.179m),447.266,6166.405,72.7,1.7638,"[2.977, 3.539, 2.975, 3.217, 3.950, 3.107]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-0.249, 1.844, -3.879, -1.267, 2.405, -3.294]"
27,0,0,0.000,31.340,21.308,7282,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,72.8,1.8046,"[3.380, 3.836, 3.409, 3.564, 4.279, 3.513]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[2.277, 2.744, 1.845, 2.671, 3.063, 1.793]"
28,0,0,0.000,31.340,21.666,7273,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,72.8,1.8089,"[3.404, 3.922, 3.534, 3.621, 4.405, 3.623]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[2.277, 2.835, 2.623, 2.671, 3.581, 2.805]"
29,0,37,0.000,26.540,21.834,7308,442,1389,100.0,1,24.401(30.501%)(0.472m),51.137(45.121%)(3.336m),99.000(87.353%)(8.464m),41.000(36.177%)(2.250m),23.000(28.750%)(0.321m),17.257(43.144%)(0.778m),21.000(52.500%)(1.179m),447.266,6166.405,72.7,1.6951,"[2.959, 3.546, 2.974, 3.179, 3.951, 3.115]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-0.249, 1.844, -3.879, -1.267, 2.368, -3.294]"
30,23,12,0.000,8.900,21.403,5256,318,982,90.0,0,30.000(37.500%)(1.071m),27.000(23.824%)(0.750m),39.000(34.412%)(2.036m),22.000(19.412%)(0.214m),23.000(28.750%)(0.321m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),0.000,5733.498,71.5,1.8923,"[2.463, 3.176, 2.851, 2.622, 3.386, 2.879]","[4.686, 5.920, 4.758, 4.913, 5.362, 4.875]","[-9.118, -2.864, -2.563, -8.855, -5.868, -3.654]"
31,1,39,0.000,25.950,21.550,7281,441,1388,100.0,1,24.673(30.841%)(0.501m),51.680(45.600%)(3.394m),59.000(52.059%)(4.179m),41.000(36.177%)(2.250m),23.000(28.750%)(0.321m),17.455(43.637%)(0.799m),20.000(50.000%)(1.071m),306.459,3390.005,72.8,1.7328,"[2.625, 3.328, 2.598, 2.994, 3.622, 2.759]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-1.643, 0.503, -3.842, -1.318, 0.358, -3.179]"
32,1,39,0.000,25.950,21.687,7284,441,1388,100.0,1,24.673(30.841%)(0.501m),51.680(45.600%)(3.394m),59.000(52.059%)(4.179m),41.000(36.177%)(2.250m),23.000(28.750%)(0.321m),17.455(43.637%)(0.799m),20.000(50.000%)(1.071m),306.459,3390.005,72.8,1.8165,"[2.685, 3.398, 2.692, 3.003, 3.734, 2.854]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-1.643, 0.503, -3.842, -1.318, 0.358, -3.179]"
33,97,45,0.000,17.310,21.555,7549,456,1430,100.0,1,24.673(30.841%)(0.501m),39.000(34.412%)(2.036m),52.000(45.882%)(3.429m),34.682(30.602%)(1.573m),16.109(20.136%)(0.000m),17.430(43.575%)(0.796m),11.291(28.228%)(0.138m),282.627,2822.906,72.6,1.7300,"[0.776, 2.645, 2.269, 1.042, 2.931, 2.457]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-5.179, -1.887, -3.842, -4.361, -1.783, -3.179]"
34,34,117,0.000,17.080,21.423,7392,447,1406,100.0,1,24.673(30.841%)(0.501m),39.000(34.412%)(2.036m),52.000(45.882%)(3.429m),41.000(36.177%)(2.250m),20.000(25.000%)(0.000m),17.430(43.575%)(0.796m),14.000(35.000%)(0.429m),259.117,2814.467,72.8,1.7791,"[2.426, 3.029, 2.510, 2.745, 3.299, 2.670]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-7.469, 0.191, -3.842, -4.977, -0.215, -3.179]"
35,1,39,0.000,25.950,21.553,7251,441,1388,100.0,1,24.673(30.841%)(0.501m),51.680(45.600%)(3.394m),59.000(52.059%)(4.179m),41.000(36.177%)(2.250m),23.000(28.750%)(0.321m),17.455(43.637%)(0.799m),20.000(50.000%)(1.071m),306.459,3390.005,72.8,1.8567,"[2.685, 3.398, 2.692, 3.003, 3.734, 2.854]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-1.643, 0.503, -3.842, -1.318, 0.358, -3.179]"
36,84,64,0.000,14.400,21.354,7748,469,1461,100.0,1,24.673(30.841%)(0.501m),32.000(28.235%)(1.286m),39.000(34.412%)(2.036m),34.188(30.166%)(1.520m),15.945(19.931%)(0.000m),17.430(43.575%)(0.796m),11.179(27.947%)(0.126m),124.301,2692.000,72.1,1.4954,"[1.144, 2.115, 2.125, 1.338, 2.277, 2.331]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-6.811, -7.939, -7.546, -6.877, -13.070, -8.003]"
37,27,16,0.000,-1.620,20.733,2549,155,447,60.0,0,30.000(37.500%)(1.071m),21.000(18.529%)(0.107m),40.000(35.294%)(2.143m),26.000(22.941%)(0.643m),22.000(27.500%)(0.214m),39.371(98.426%)(3.147m),40.000(100.000%)(3.214m),0.000,2925.719,66.7,1.7765,"[1.365, 2.175, 1.878, 1.233, 1.797, 1.754]","[4.686, 5.323, 4.758, 4.913, 5.901, 4.875]","[-9.922, -5.278, -10.327, -11.752, -14.233, -15.167]"
38,27,16,0.000,-1.620,20.145,2559,155,447,60.0,0,30.000(37.500%)(1.071m),21.000(18.529%)(0.107m),40.000(35.294%)(2.143m),26.000(22.941%)(0.643m),22.000(27.500%)(0.214m),39.371(98.426%)(3.147m),40.000(100.000%)(3.214m),0.000,2925.719,66.7,1.7995,"[1.365, 2.175, 1.878, 1.233, 1.797, 1.754]","[4.686, 5.323, 4.758, 4.913, 5.901, 4.875]","[-9.922, -5.278, -10.327, -11.752, -14.233, -15.167]"
39,27,16,0.000,-1.620,19.587,2572,155,447,60.0,0,30.000(37.500%)(1.071m),21.000(18.529%)(0.107m),40.000(35.294%)(2.143m),26.000(22.941%)(0.643m),22.000(27.500%)(0.214m),39.371(98.426%)(3.147m),40.000(100.000%)(3.214m),0.000,2925.719,66.7,1.8589,"[1.365, 2.175, 1.878, 1.233, 1.797, 1.754]","[4.686, 5.323, 4.758, 4.913, 5.901, 4.875]","[-9.922, -5.278, -10.327, -11.752, -14.233, -15.167]"
40,27,16,0.000,-1.620,19.056,2569,155,447,60.0,0,30.000(37.500%)(1.071m),21.000(18.529%)(0.107m),40.000(35.294%)(2.143m),26.000(22.941%)(0.643m),22.000(27.500%)(0.214m),39.371(98.426%)(3.147m),40.000(100.000%)(3.214m),0.000,2925.719,66.7,1.9228,"[1.365, 2.175, 1.878, 1.233, 1.797, 1.754]","[4.686, 5.323, 4.758, 4.913, 5.901, 4.875]","[-9.922, -5.278, -10.327, -11.752, -14.233, -15.167]"
41,27,16,0.000,-1.620,18.552,2559,155,447,60.0,0,30.000(37.500%)(1.071m),21.000(18.529%)(0.107m),40.000(35.294%)(2.143m),26.000(22.941%)(0.643m),22.000(27.500%)(0.214m),39.371(98.426%)(3.147m),40.000(100.000%)(3.214m),0.000,2925.719,66.7,1.7838,"[1.365, 2.175, 1.878, 1.233, 1.797, 1.754]","[4.686, 5.323, 4.758, 4.913, 5.901, 4.875]","[-9.922, -5.278, -10.327, -11.752, -14.233, -15.167]"
42,27,16,0.000,-1.620,18.072,2568,155,447,60.0,0,30.000(37.500%)(1.071m),21.000(18.529%)(0.107m),40.000(35.294%)(2.143m),26.000(22.941%)(0.643m),22.000(27.500%)(0.214m),39.371(98.426%)(3.147m),40.000(100.000%)(3.214m),0.000,2925.719,66.7,1.8254,"[1.365, 2.175, 1.878, 1.233, 1.797, 1.754]","[4.686, 5.323, 4.758, 4.913, 5.901, 4.875]","[-9.922, -5.278, -10.327, -11.752, -14.233, -15.167]"
