episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-7.1479,-7.1479,0.000,180,435,17,0,1.000,45,0.00,18,692.50,0,0,77.786(97.233%)(6.191m),88.000(77.647%)(7.286m),51.426(45.376%)(3.367m),21.130(18.644%)(0.121m),11.657(14.572%)(0.000m),40.000(100.000%)(3.214m),10.312(25.779%)(0.033m),5502.307,8783.095,55.9,0.0000,"[0.191, 0.169, 0.058, 0.140, 0.048, 0.198]","[0.209, 0.190, 0.082, 0.170, 0.064, 0.204]","[0.187, 0.163, 0.047, 0.133, 0.043, 0.193]"
2,1,-5.6543,-6.4011,0.000,121,305,17,0,0.998,40,0.00,31,356.40,0,0,10.374(12.967%)(0.000m),17.151(15.133%)(0.000m),33.730(29.762%)(1.471m),110.000(97.059%)(9.643m),77.067(96.334%)(6.114m),10.248(25.619%)(0.027m),40.000(100.000%)(3.214m),6766.061,12908.088,58.3,0.0000,"[0.168, 0.159, 0.041, 0.130, 0.054, 0.200]","[0.188, 0.166, 0.048, 0.138, 0.059, 0.212]","[0.145, 0.150, 0.029, 0.110, 0.048, 0.177]"
3,1,-6.7913,-6.5312,0.000,367,908,105,21,0.996,65,0.00,68,1057.64,0,0,27.000(33.750%)(0.750m),40.000(35.294%)(2.143m),39.000(34.412%)(2.036m),20.000(17.647%)(0.000m),18.659(23.323%)(0.000m),40.000(100.000%)(3.214m),13.180(32.949%)(0.341m),0.000,4983.665,57.2,0.0000,"[0.190, 0.169, 0.055, 0.142, 0.055, 0.198]","[0.208, 0.187, 0.080, 0.161, 0.069, 0.209]","[0.167, 0.162, 0.044, 0.134, 0.045, 0.187]"
4,1,-5.0827,-6.1690,0.000,110,266,15,0,0.994,35,0.00,79,342.53,0,0,12.581(15.727%)(0.000m),26.011(22.951%)(0.644m),65.489(57.784%)(4.874m),113.333(100.000%)(10.000m),76.230(95.288%)(6.025m),9.816(24.540%)(0.000m),40.000(100.000%)(3.214m),6209.868,16935.938,56.0,0.0000,"[0.173, 0.158, 0.040, 0.130, 0.053, 0.198]","[0.188, 0.164, 0.047, 0.138, 0.059, 0.209]","[0.141, 0.148, 0.023, 0.110, 0.048, 0.178]"
5,1,-5.2707,-5.9894,0.000,65,170,19,0,0.992,25,0.00,86,179.02,0,0,10.067(12.584%)(0.000m),15.802(13.943%)(0.000m),28.235(24.913%)(0.882m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),10.702(26.755%)(0.075m),40.000(100.000%)(3.214m),4524.413,9297.299,60.7,0.0000,"[0.171, 0.161, 0.045, 0.132, 0.058, 0.203]","[0.188, 0.166, 0.048, 0.139, 0.065, 0.212]","[0.146, 0.152, 0.034, 0.110, 0.048, 0.179]"
6,1,-6.0300,-5.9962,0.000,233,582,22,0,0.990,55,0.00,110,748.65,0,0,9.810(12.263%)(0.000m),14.494(12.789%)(0.000m),23.524(20.757%)(0.378m),67.000(59.118%)(5.036m),51.313(64.141%)(3.355m),11.511(28.779%)(0.162m),37.392(93.481%)(2.935m),2635.767,7155.248,57.8,0.0000,"[0.183, 0.164, 0.048, 0.136, 0.053, 0.202]","[0.196, 0.171, 0.057, 0.146, 0.063, 0.213]","[0.148, 0.149, 0.030, 0.111, 0.045, 0.177]"
7,1,-6.0155,-5.9989,0.000,163,405,17,0,0.988,45,0.00,127,495.41,0,0,9.856(12.320%)(0.000m),15.226(13.434%)(0.000m),26.484(23.369%)(0.695m),92.000(81.177%)(7.714m),76.230(95.288%)(6.025m),10.738(26.845%)(0.079m),40.000(100.000%)(3.214m),3602.984,11820.889,57.5,0.0000,"[0.177, 0.162, 0.044, 0.134, 0.054, 0.205]","[0.188, 0.170, 0.052, 0.143, 0.062, 0.217]","[0.146, 0.147, 0.026, 0.108, 0.048, 0.174]"
8,1,-6.7517,-6.0930,0.000,167,413,17,0,0.986,45,0.00,144,482.55,0,0,8.932(11.164%)(0.000m),12.072(10.652%)(0.000m),17.416(15.367%)(0.000m),35.597(31.409%)(1.671m),43.081(53.851%)(2.473m),12.541(31.353%)(0.272m),31.377(78.444%)(2.290m),4027.473,9573.211,57.2,0.0000,"[0.183, 0.164, 0.050, 0.135, 0.051, 0.200]","[0.194, 0.169, 0.061, 0.142, 0.072, 0.211]","[0.156, 0.150, 0.027, 0.118, 0.041, 0.174]"
9,1,-4.8016,-5.9495,0.000,260,673,54,16,0.984,60,0.00,170,779.24,0,0,59.377(74.221%)(4.219m),107.878(95.187%)(9.415m),20.000(17.647%)(0.000m),21.000(18.529%)(0.107m),46.000(57.500%)(2.786m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,5914.828,59.9,0.0000,"[0.187, 0.167, 0.052, 0.139, 0.053, 0.205]","[0.191, 0.176, 0.064, 0.154, 0.062, 0.220]","[0.177, 0.161, 0.044, 0.134, 0.045, 0.192]"
10,1,-6.0603,-5.9606,0.000,123,295,20,0,0.982,35,0.00,183,341.99,0,0,12.917(16.146%)(0.000m),27.458(24.228%)(0.799m),71.679(63.247%)(5.537m),113.333(100.000%)(10.000m),76.230(95.288%)(6.025m),9.695(24.238%)(0.000m),40.000(100.000%)(3.214m),8392.403,19591.690,55.5,0.0000,"[0.170, 0.157, 0.037, 0.129, 0.052, 0.197]","[0.188, 0.165, 0.049, 0.138, 0.058, 0.208]","[0.139, 0.147, 0.020, 0.110, 0.045, 0.179]"
